,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
0,Налоговая,POINT (60.1100379 55.0482772),,,POINT (60.1100379 55.0482772),55.0482772,60.1100379
2,РУВН-10кВ №2 КПД,POINT (60.1330893 55.0940243),,,POINT (60.1330893 55.0940243),55.0940243,60.1330893
3,,POINT (60.1170411 55.0330663),,,POINT (60.1170411 55.0330663),55.0330663,60.1170411
4,,"POLYGON ((60.1119324 55.0333193, 60.1113036 55.0336816, 60.1112598 55.0337069, 60.1112144 55.033733, 60.1108586 55.033938, 60.1110796 55.034064, 60.1114172 55.0338695, 60.1114737 55.0338369, 60.1115341 55.0338021, 60.1121534 55.0334452, 60.1119324 55.0333193))",улица Академика Павлова,,POINT (60.11150596743891 55.03369165420182),55.03369165420182,60.11150596743891
34,,"POLYGON ((60.1289768 55.1313344, 60.1280747 55.1304211, 60.1278573 55.1304913, 60.1287593 55.1314046, 60.1289768 55.1313344))",,,POINT (60.12841705169721 55.13091287638165),55.13091287638165,60.12841705169721
44,,"POLYGON ((60.1504425 55.1608414, 60.1503843 55.1607372, 60.1502699 55.160758, 60.1503281 55.1608622, 60.1504425 55.1608414))",,,POINT (60.1503562 55.1607997),55.1607997,60.1503562
49,,"POLYGON ((60.1187555 55.0822572, 60.1188347 55.0822507, 60.1188193 55.0821893, 60.11874 55.0821958, 60.1187555 55.0822572))",,,POINT (60.1187873725439 55.08222324374509),55.08222324374509,60.1187873725439
52,,"POLYGON ((60.1176602 55.0788762, 60.118247 55.0787579, 60.1180959 55.0785123, 60.1184859 55.0784337, 60.118033 55.0776977, 60.1173608 55.0778333, 60.1175099 55.0780755, 60.1175799 55.0781893, 60.1172888 55.078248, 60.1174018 55.0784316, 60.117439 55.078492, 60.1173148 55.0785171, 60.1174219 55.0786912, 60.1175326 55.0786689, 60.1176602 55.0788762))",,,POINT (60.11784790454465 55.07829035812549),55.07829035812549,60.11784790454465
55,,"POLYGON ((60.1510652 55.1620498, 60.1509814 55.1618997, 60.1509142 55.161912, 60.1508293 55.1619274, 60.1509131 55.1620775, 60.1510652 55.1620498))",,,POINT (60.1509472572721 55.16198861410859),55.16198861410859,60.1509472572721
58,,"POLYGON ((60.1168231 55.0779147, 60.1170173 55.0778756, 60.1166733 55.0773153, 60.1164789 55.0773544, 60.1168231 55.0779147))",,,POINT (60.116748122695206 55.077614957433276),55.07761495743328,60.116748122695206
94,,"POLYGON ((60.1475925 55.151067, 60.1475365 55.150967, 60.1473077 55.1510083, 60.1473684 55.1511084, 60.1475925 55.151067))",,,POINT (60.147451021583315 55.1510375503755),55.1510375503755,60.14745102158332
95,,"POLYGON ((60.1160072 55.0312761, 60.1160912 55.0313165, 60.1162526 55.0312063, 60.1161685 55.0311659, 60.1160072 55.0312761))",,,POINT (60.11612988618254 55.03124119444903),55.03124119444903,60.11612988618254
97,,"POLYGON ((60.1169234 55.0315795, 60.1170055 55.0315652, 60.1168403 55.0312544, 60.1167582 55.0312688, 60.1169234 55.0315795))",,,POINT (60.11688184385811 55.031416959305346),55.03141695930535,60.11688184385811
98,,"POLYGON ((60.1149729 55.0318607, 60.1151492 55.0319304, 60.1158179 55.0313744, 60.1156415 55.0313047, 60.1149729 55.0318607))",,,POINT (60.115395397125035 55.031617532471124),55.03161753247112,60.11539539712504
99,,"POLYGON ((60.1460055 55.1514249, 60.1460868 55.1514097, 60.1460653 55.1513721, 60.145984 55.1513873, 60.1460055 55.1514249))",,,POINT (60.1460354 55.15139850000002),55.15139850000002,60.1460354
100,Багажное отделение,"POLYGON ((60.1130934 55.0326717, 60.113296 55.0327867, 60.1138396 55.0324795, 60.1136369 55.0323645, 60.1130934 55.0326717))",,,POINT (60.11346648770971 55.03257559457991),55.03257559457991,60.11346648770971
101,,"POLYGON ((60.1170409 55.0313141, 60.1172199 55.0314034, 60.1173835 55.0312958, 60.1172038 55.0312061, 60.1171528 55.0312397, 60.1171144 55.0312205, 60.117049 55.0312636, 60.117088 55.031283, 60.1170409 55.0313141))",,,POINT (60.11720325677208 55.03130058153431),55.03130058153431,60.11720325677208
107,,"POLYGON ((60.1459817 55.1512185, 60.146004 55.1512584, 60.1460845 55.1512437, 60.1460623 55.1512038, 60.1459817 55.1512185))",,,POINT (60.146033120124144 55.15123109676195),55.15123109676195,60.146033120124144
109,Пузата хата,"POLYGON ((60.0980188 55.1163906, 60.0982056 55.1163953, 60.0982125 55.1163058, 60.0980258 55.1163011, 60.0980188 55.1163906))",,,POINT (60.098115674253705 55.116348203974965),55.116348203974965,60.098115674253705
137,,"POLYGON ((60.1478544 55.1294951, 60.1478551 55.1295233, 60.1479394 55.1295227, 60.1479388 55.1294945, 60.1478544 55.1294951))",,,POINT (60.14789692475853 55.12950889721571),55.12950889721571,60.14789692475853
141,,"POLYGON ((60.1537832 55.130411, 60.1540051 55.1303808, 60.1540564 55.1305041, 60.1538345 55.1305343, 60.1537832 55.130411))",улица Вернадского,,POINT (60.153919800000004 55.13045754999999),55.13045754999999,60.1539198
241,Salavat,"POLYGON ((60.1208113 55.0761426, 60.120768 55.0760832, 60.1208506 55.0760635, 60.120894 55.0761228, 60.1208113 55.0761426))",,,POINT (60.12083097392005 55.076103035612974),55.076103035612974,60.12083097392005
251,,"POLYGON ((60.1543561 55.1305583, 60.1544515 55.1305485, 60.1544808 55.1306421, 60.1543854 55.1306518, 60.1543561 55.1305583))",,,POINT (60.1544184574578 55.13060017167841),55.13060017167841,60.1544184574578
252,,"POLYGON ((60.1543789 55.130323, 60.1544219 55.1304579, 60.1542833 55.1304723, 60.1542403 55.1303374, 60.1543789 55.130323))",,,POINT (60.15433109999999 55.13039764999999),55.13039764999999,60.15433109999999
253,,"POLYGON ((60.1534985 55.1285362, 60.154424 55.1284199, 60.1543991 55.1283639, 60.1534762 55.1284821, 60.1534985 55.1285362))",,,POINT (60.15395241231903 55.12845015804363),55.12845015804363,60.15395241231903
255,,"POLYGON ((60.1535532 55.1286764, 60.153532 55.1286148, 60.1545449 55.1285013, 60.1544593 55.1282517, 60.154691 55.1282258, 60.1547154 55.1282968, 60.1546211 55.1283074, 60.1547035 55.1285475, 60.1535532 55.1286764))",,,POINT (60.15428890599777 55.128497210234485),55.128497210234485,60.15428890599777
272,,"POLYGON ((60.1544593 55.1282517, 60.1542701 55.1282729, 60.1542488 55.1282108, 60.154438 55.1281896, 60.1544593 55.1282517))",,,POINT (60.154354049999995 55.12823125),55.12823125,60.15435405
278,,"POLYGON ((60.1441381 55.1370917, 60.1442902 55.1370898, 60.1442889 55.1370567, 60.1441368 55.1370585, 60.1441381 55.1370917))",,,POINT (60.14421346178572 55.13707417553603),55.13707417553603,60.14421346178572
314,,"POLYGON ((60.1497984 55.1393617, 60.1497964 55.139314, 60.1497192 55.139315, 60.1497212 55.1393629, 60.1497984 55.1393617))",,,POINT (60.14975877311639 55.13933840081485),55.13933840081485,60.14975877311639
323,,"LINESTRING (60.1483122 55.1482405, 60.1482741 55.1482412, 60.1482895 55.1485173, 60.1483885 55.1485684, 60.1487404 55.148562, 60.1487371 55.1485018)",,,POINT (60.14844145257819 55.148483751151936),55.148483751151936,60.14844145257819
332,,"POLYGON ((60.1618267 55.1484316, 60.161939 55.1484163, 60.1618966 55.1483146, 60.1617843 55.1483299, 60.1618267 55.1484316))",,,POINT (60.16186165 55.1483731),55.1483731,60.16186165
334,,"POLYGON ((60.1540581 55.1427945, 60.154341 55.1427903, 60.1543086 55.1420843, 60.1540257 55.1420885, 60.1540581 55.1427945))",,,POINT (60.154183350000004 55.142439400000015),55.142439400000015,60.15418335
340,,"POLYGON ((60.1554637 55.1490381, 60.1559732 55.1490295, 60.155977 55.1491043, 60.1560646 55.1491029, 60.1560915 55.1491025, 60.1560843 55.1489624, 60.1554603 55.1489728, 60.1554637 55.1490381))",,,POINT (60.155818829952516 55.1490116515671),55.1490116515671,60.15581882995252
341,,"POLYGON ((60.1535812 55.1434874, 60.1543652 55.1434706, 60.1543571 55.1433479, 60.1541806 55.1433517, 60.1541721 55.143222, 60.1535646 55.1432351, 60.1535812 55.1434874))",,,POINT (60.153925705643374 55.143361704436835),55.14336170443684,60.153925705643374
343,,"POLYGON ((60.16111 55.1510898, 60.1613387 55.1510654, 60.1612898 55.1509154, 60.1610611 55.1509398, 60.16111 55.1510898))",,,POINT (60.161199899999986 55.151002599999984),55.151002599999984,60.16119989999999
345,,"POLYGON ((60.1538558 55.1441303, 60.153839 55.143906, 60.1534739 55.1439149, 60.1534791 55.1439839, 60.1534827 55.1440325, 60.1534907 55.1441392, 60.1538558 55.1441303))",,,POINT (60.153664852858945 55.144022601268226),55.14402260126823,60.15366485285895
346,,"POLYGON ((60.1625848 55.1537758, 60.1627773 55.1537308, 60.1626461 55.1535478, 60.1624537 55.1535928, 60.1625848 55.1537758))",,,POINT (60.162615481618964 55.15366180637645),55.15366180637645,60.16261548161896
348,,"POLYGON ((60.161629 55.148727, 60.1618404 55.1487041, 60.1617723 55.148499, 60.1615609 55.148522, 60.161629 55.148727))",,,POINT (60.16170065743188 55.14861302150869),55.14861302150869,60.16170065743188
352,,"POLYGON ((60.16291 55.1531378, 60.1627688 55.1527049, 60.1625502 55.1527281, 60.1626916 55.1531616, 60.1627242 55.153259, 60.1632276 55.153204, 60.163195 55.1531066, 60.16291 55.1531378))",,,POINT (60.16280849188095 55.153018377332),55.153018377332,60.16280849188095
353,,"POLYGON ((60.1605953 55.1495741, 60.1604728 55.1489299, 60.1602007 55.1489468, 60.1602272 55.1490865, 60.1603116 55.1490812, 60.1603843 55.1494639, 60.1602998 55.1494691, 60.160323 55.149591, 60.1605953 55.1495741))",,,POINT (60.16041877301047 55.14925717327748),55.14925717327748,60.16041877301047
377,,"POLYGON ((60.1538143 55.1411366, 60.1541798 55.1411366, 60.1541798 55.1410448, 60.1538143 55.1410448, 60.1538143 55.1411366))",,,POINT (60.15399705000001 55.141090700000014),55.141090700000014,60.15399705000001
382,,"POLYGON ((60.1469883 55.1390358, 60.1471857 55.1390309, 60.1471773 55.1389204, 60.1470892 55.1389225, 60.1469799 55.1389252, 60.1469883 55.1390358))",,,POINT (60.147082785050166 55.138978065159044),55.13897806515904,60.147082785050166
383,,"POLYGON ((60.149697 55.1449344, 60.1496892 55.1448335, 60.1498443 55.1448295, 60.1498305 55.1446522, 60.1496754 55.1446562, 60.1496679 55.1445611, 60.1495594 55.1445638, 60.1495668 55.144659, 60.1495147 55.1446603, 60.1495285 55.1448376, 60.1495806 55.1448363, 60.1495885 55.1449371, 60.149697 55.1449344))",проспект Октября,,POINT (60.14966543389538 55.14474677926858),55.14474677926858,60.14966543389538
414,Автомойка,"POLYGON ((60.1554605 55.1446997, 60.1556895 55.1446414, 60.1556345 55.1445708, 60.1554055 55.144629, 60.1554605 55.1446997))",,,POINT (60.15554747875414 55.14463523240569),55.14463523240569,60.15554747875414
430,,"POLYGON ((60.1133216 55.0499547, 60.1135479 55.0499547, 60.1135479 55.0494534, 60.113419 55.0494534, 60.1133216 55.0494534, 60.1133216 55.0499547))",,,POINT (60.113434749999996 55.04970405),55.04970405,60.11343475
435,,"POLYGON ((60.1174254 55.0485912, 60.1177374 55.0485901, 60.117735 55.0483595, 60.117423 55.0483606, 60.1174254 55.0485912))",,,POINT (60.1175802 55.04847534999999),55.04847534999999,60.1175802
436,,"POLYGON ((60.1147431 55.0500431, 60.1148545 55.0500431, 60.1148545 55.0494591, 60.1147431 55.0494591, 60.1147431 55.0500431))",,,POINT (60.1147988 55.049751099999995),55.0497511,60.1147988
438,,"POLYGON ((60.1139362 55.0487868, 60.1141371 55.0487872, 60.1141385 55.0485723, 60.1139376 55.0485719, 60.1139362 55.0487868))",,,POINT (60.11403735 55.04867955),55.04867955,60.11403735
450,,"POLYGON ((60.1062075 55.052967, 60.1064004 55.052967, 60.1064003 55.0528359, 60.1062074 55.0528359, 60.1062075 55.052967))",,,POINT (60.1063039 55.05290145),55.05290145,60.1063039
453,,"POLYGON ((60.1097034 55.0534885, 60.1098797 55.0534885, 60.1098797 55.0531639, 60.1097034 55.0531639, 60.1097034 55.0534885))",,,POINT (60.10979155 55.053326199999994),55.0533262,60.10979155
493,,"POLYGON ((60.1047697 55.0600337, 60.1055007 55.0600348, 60.1055017 55.0598076, 60.1047707 55.0598065, 60.1047697 55.0600337))",,,POINT (60.105135700000005 55.05992065000001),55.05992065000001,60.105135700000005
564,,"POLYGON ((60.0872489 55.0777319, 60.0877251 55.0775366, 60.0875439 55.0773919, 60.0870678 55.0775872, 60.0872489 55.0777319))",,,POINT (60.08739643452622 55.07756189862516),55.07756189862516,60.08739643452622
569,,"POLYGON ((60.1487218 55.1364458, 60.1489123 55.1365399, 60.1487732 55.1366319, 60.1485827 55.1365379, 60.1487218 55.1364458))",,,POINT (60.14874749538901 55.13653886663867),55.13653886663867,60.14874749538901
583,,"POLYGON ((60.1610958 55.1596541, 60.1614161 55.1596094, 60.1621699 55.1594963, 60.162148 55.1594444, 60.1620544 55.1592413, 60.1619876 55.1590927, 60.1609147 55.159251, 60.1610958 55.1596541))",,,POINT (60.16154238783798 55.15937413770147),55.15937413770147,60.16154238783798
584,,"POLYGON ((60.1610958 55.1596541, 60.1613128 55.1601619, 60.1616332 55.1601172, 60.1614161 55.1596094, 60.1610958 55.1596541))",,,POINT (60.16136448102065 55.159885662369426),55.15988566236943,60.16136448102065
596,,"POLYGON ((60.1327273 55.0882746, 60.1329593 55.088209, 60.1327686 55.0879881, 60.1325365 55.0880537, 60.1327273 55.0882746))",,,POINT (60.13274791750478 55.08813134418595),55.08813134418595,60.13274791750478
597,,"POLYGON ((60.1314313 55.0873587, 60.1315127 55.0873358, 60.1315341 55.0873607, 60.1318602 55.0872686, 60.1318691 55.0872789, 60.1319288 55.087262, 60.1318963 55.0872243, 60.1320221 55.0871888, 60.1319171 55.087067, 60.1317944 55.0871017, 60.1317506 55.0870508, 60.1315843 55.0870977, 60.1314323 55.0871407, 60.1313493 55.0871641, 60.1313676 55.0871853, 60.1312986 55.0872048, 60.1314313 55.0873587))",,,POINT (60.13165242161167 55.08720507112064),55.08720507112064,60.13165242161167
602,,"POLYGON ((60.1415369 55.0869217, 60.1416347 55.0868938, 60.141568 55.086817, 60.14148 55.0868421, 60.1414571 55.0868157, 60.1413351 55.0868504, 60.1413847 55.0869074, 60.1414968 55.0868755, 60.1415369 55.0869217))",,,POINT (60.14148923311516 55.08686574525202),55.08686574525202,60.14148923311516
