,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
3,,POINT (49.9716096 53.0891128),,31,POINT (49.9716096 53.0891128),53.0891128,49.9716096,
4,,"POLYGON ((49.9933145 53.0892404, 49.993667 53.0895959, 49.9934892 53.0896595, 49.9931368 53.089304, 49.9933145 53.0892404))",улица Ворошилова,26,POINT (49.99340188829745 53.08944996190876),53.08944996190876,49.99340188829745,Новокуйбышевск улица Ворошилова 26
5,,"POLYGON ((49.9941827 53.0894211, 49.9943577 53.0893578, 49.9944287 53.0894296, 49.9944484 53.0894159, 49.994546 53.0894501, 49.9945337 53.0894696, 49.9947838 53.089471, 49.994771 53.0894519, 49.9948814 53.0894126, 49.9948984 53.0894258, 49.9949827 53.0893513, 49.9951614 53.0894067, 49.9950951 53.0894772, 49.9951203 53.089478, 49.9951236 53.0895479, 49.9951019 53.0895492, 49.9951004 53.089575, 49.9951584 53.0896171, 49.9950096 53.0896773, 49.9949519 53.0896261, 49.9949304 53.0896339, 49.9949065 53.0896157, 49.9947765 53.0895851, 49.9947735 53.0895678, 49.9945802 53.0895715, 49.9945776 53.0895818, 49.9944525 53.0896191, 49.9944407 53.0896103, 49.9943588 53.0896885, 49.9941914 53.0896344, 49.9942538 53.0895877, 49.9942568 53.0895656, 49.9942327 53.0895645, 49.9942344 53.0894946, 49.9942564 53.0894936, 49.994256 53.0894802, 49.9941827 53.0894211))",улица Ворошилова,30,POINT (49.994677009859146 53.089517786937094),53.08951778693709,49.994677009859146,Новокуйбышевск улица Ворошилова 30
6,,"POLYGON ((49.9930362 53.08863, 49.9931267 53.0887257, 49.9929133 53.0887986, 49.9929756 53.0888644, 49.9928637 53.0889026, 49.9926936 53.0887228, 49.9928016 53.088686, 49.9928189 53.0887042, 49.9930362 53.08863))",проспект Победы,49А,POINT (49.992905374954965 53.0887537540835),53.0887537540835,49.992905374954965,Новокуйбышевск проспект Победы 49А
7,,"POLYGON ((49.9920284 53.0889754, 49.9921269 53.0890752, 49.99085 53.0895301, 49.9907515 53.0894304, 49.9920284 53.0889754))",проспект Победы,45,POINT (49.991439278442115 53.089252746408825),53.089252746408825,49.99143927844212,Новокуйбышевск проспект Победы 45
8,,"POLYGON ((49.9944234 53.0898737, 49.9944518 53.0904808, 49.9942413 53.0904844, 49.9942128 53.0898772, 49.9944234 53.0898737))",улица Ворошилова,28,POINT (49.994332320991326 53.09017900216329),53.09017900216329,49.994332320991326,Новокуйбышевск улица Ворошилова 28
9,,"POLYGON ((49.9932617 53.0897104, 49.9936158 53.0900677, 49.9934461 53.0901284, 49.993092 53.0897711, 49.9932617 53.0897104))",улица Ворошилова,24,POINT (49.993353899999995 53.0899194),53.0899194,49.9933539,Новокуйбышевск улица Ворошилова 24
10,,"POLYGON ((49.9923615 53.089729, 49.9924535 53.0898192, 49.9919933 53.0899887, 49.9919013 53.0898986, 49.9923615 53.089729))",улица Будённого,5А,POINT (49.99217742968057 53.08985886239895),53.08985886239895,49.99217742968057,Новокуйбышевск улица Будённого 5А
11,,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",улица Будённого,5,POINT (49.99132530000001 53.08987135),53.08987135,49.99132530000001,Новокуйбышевск улица Будённого 5
12,,"POLYGON ((49.9939756 53.0908127, 49.9940954 53.0908833, 49.9930789 53.0915049, 49.9929591 53.0914342, 49.9939756 53.0908127))",улица Ворошилова,20,POINT (49.99352719195275 53.09115881147575),53.09115881147575,49.99352719195275,Новокуйбышевск улица Ворошилова 20
13,,"POLYGON ((49.9932186 53.0902028, 49.9935738 53.0905483, 49.9933945 53.0906148, 49.9930393 53.0902693, 49.9932186 53.0902028))",улица Ворошилова,22,POINT (49.99330655 53.0904088),53.0904088,49.99330655,Новокуйбышевск улица Ворошилова 22
14,,"POLYGON ((49.9922292 53.0904059, 49.9923577 53.0904878, 49.9922237 53.0905636, 49.9923636 53.0906528, 49.9925013 53.0905748, 49.9926352 53.0906602, 49.9924964 53.0907387, 49.9926352 53.0908272, 49.9927687 53.0907516, 49.9929036 53.0908376, 49.9927051 53.0909499, 49.9925892 53.0908761, 49.9924623 53.090948, 49.992331 53.0908643, 49.9924492 53.0907974, 49.9922742 53.0906859, 49.9921451 53.090759, 49.9920139 53.0906753, 49.9921369 53.0906057, 49.9920142 53.0905276, 49.9922292 53.0904059))",улица Будённого,3,POINT (49.99240920211836 53.09070584508242),53.09070584508242,49.99240920211836,Новокуйбышевск улица Будённого 3
15,,"POLYGON ((49.9705916 53.0953566, 49.9713271 53.0953719, 49.971346 53.095043, 49.9707046 53.0950297, 49.9707057 53.0950106, 49.9707807 53.0950122, 49.9707884 53.0948791, 49.9708337 53.0948801, 49.9708364 53.0948347, 49.9706775 53.0948313, 49.9704079 53.0948257, 49.9703851 53.095218, 49.9705765 53.095222, 49.9705832 53.0951059, 49.970704 53.0951084, 49.9706931 53.0952966, 49.9705952 53.0952946, 49.9705916 53.0953566))",проспект Победы,26,POINT (49.9708473714199 53.095128581353315),53.09512858135332,49.9708473714199,Новокуйбышевск проспект Победы 26
16,,"POLYGON ((49.9715154 53.0938298, 49.9716872 53.0937664, 49.9719079 53.0939821, 49.9722748 53.0938467, 49.9720701 53.0936467, 49.9722554 53.0935783, 49.9727892 53.0940999, 49.9726114 53.0941655, 49.9724004 53.0939593, 49.9720297 53.0940961, 49.9722515 53.0943128, 49.9720759 53.0943776, 49.9715154 53.0938298))",Школьный переулок,7,POINT (49.972155279417116 53.09397166657441),53.09397166657441,49.97215527941712,Новокуйбышевск Школьный переулок 7
17,,"POLYGON ((49.9664464 53.0954368, 49.966559 53.0955399, 49.9662959 53.0956434, 49.9662694 53.0956191, 49.9661508 53.0956657, 49.966435 53.0959261, 49.9665036 53.0958991, 49.9664862 53.0958832, 49.9667821 53.0957667, 49.9668822 53.0958585, 49.9659568 53.0962227, 49.9658517 53.0961264, 49.9661586 53.0960056, 49.9661778 53.0960233, 49.9662412 53.0959983, 49.9659583 53.0957391, 49.9658354 53.0957875, 49.9658595 53.0958095, 49.9655751 53.0959214, 49.9654669 53.0958223, 49.9664464 53.0954368))",улица Дзержинского,23А,POINT (49.96618379487645 53.095830047860716),53.09583004786072,49.96618379487645,Новокуйбышевск улица Дзержинского 23А
18,,"POLYGON ((49.9649036 53.0958718, 49.9650051 53.0959669, 49.9641004 53.0963154, 49.9639989 53.0962203, 49.9649036 53.0958718))",улица Островского,16Б,POINT (49.964502 53.09609360000001),53.09609360000001,49.964502,Новокуйбышевск улица Островского 16Б
