,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
0,"Нова, Самарское народное предприятие",POINT (49.9695479 53.0945992),,,POINT (49.9695479 53.0945992),53.0945992,49.9695479
1,,POINT (49.9948137 53.0887904),,,POINT (49.9948137 53.0887904),53.0887904,49.9948137
2,Новокуйбышевск - Восток,POINT (49.9946823 53.088748),,,POINT (49.9946823 53.088748),53.088748,49.9946823
22,,"POLYGON ((49.9912273 53.0882709, 49.9912327 53.088358, 49.9913239 53.0883934, 49.9913936 53.0883644, 49.9913708 53.0883, 49.9914258 53.088287, 49.9915116 53.0883193, 49.9915868 53.0882903, 49.991576 53.0882355, 49.9916404 53.0882065, 49.9916189 53.0881485, 49.9916619 53.0881228, 49.9916619 53.0880679, 49.9915814 53.0880326, 49.9915251 53.0880503, 49.9915331 53.0881267, 49.9914714 53.0881597, 49.9913615 53.0881309, 49.9913574 53.0880631, 49.9912689 53.0880341, 49.9912757 53.0879568, 49.991336 53.087927, 49.9914165 53.0879536, 49.9914661 53.0879359, 49.9914634 53.0878803, 49.9913789 53.0878513, 49.9913682 53.0877934, 49.9912904 53.0877603, 49.9911818 53.0878058, 49.9911979 53.0878224, 49.9911094 53.0878489, 49.9910992 53.0879549, 49.9910221 53.0880142, 49.9911367 53.0881254, 49.9911311 53.0881796, 49.9912273 53.0882709))",,,POINT (49.991322132345665 53.088087504893025),53.08808750489303,49.99132213234567
28,Билетные кассы,"POLYGON ((49.9844077 53.1013319, 49.9845463 53.1014135, 49.984393 53.1015072, 49.9842545 53.1014256, 49.9844077 53.1013319))",,,POINT (49.984400383391495 53.10141954930648),53.10141954930648,49.984400383391495
89,,"POLYGON ((49.9877959 53.0866785, 49.9878637 53.0865917, 49.9884235 53.0867494, 49.9883574 53.086834, 49.9884416 53.0868577, 49.9884005 53.0869103, 49.9876861 53.086709, 49.9877254 53.0866587, 49.9877959 53.0866785))",,,POINT (49.988090520603684 53.08674418590878),53.08674418590878,49.98809052060368
91,,"POLYGON ((49.9849072 53.0858056, 49.9849346 53.0857706, 49.9854848 53.0859256, 49.9854537 53.0859653, 49.9855517 53.0859929, 49.9854773 53.0860882, 49.9847314 53.0858781, 49.9848095 53.0857781, 49.9849072 53.0858056))",,,POINT (49.98515245412051 53.085918994845095),53.085918994845095,49.98515245412051
158,,"POLYGON ((49.9578974 53.0947129, 49.9577828 53.0947579, 49.9576739 53.094658, 49.9577885 53.094613, 49.9578974 53.0947129))",,,POINT (49.95778565 53.09468545),53.09468545,49.95778565
194,,"POLYGON ((49.9694532 53.0956019, 49.9695202 53.0955492, 49.9689836 53.0953032, 49.9688659 53.0953958, 49.9689557 53.095437, 49.9688938 53.0954857, 49.9690266 53.0955465, 49.9689798 53.0955833, 49.96919 53.0956797, 49.9693494 53.0955544, 49.9694532 53.0956019))",,,POINT (49.969149774257296 53.095496710939344),53.095496710939344,49.969149774257296
195,,"POLYGON ((49.9697616 53.095758, 49.9698498 53.0956876, 49.9701113 53.0958266, 49.9700934 53.0962748, 49.9699777 53.096329, 49.9698928 53.0963587, 49.9698183 53.0962774, 49.9699559 53.0962249, 49.9699719 53.0958609, 49.9697616 53.095758))",,,POINT (49.969989865584196 53.096023584206634),53.09602358420664,49.9699898655842
