,post,date
0,"Цена: 1900руб.
Арт: Б-2Д-87
Размеры: 64,66,68,70
Арт: 4635460",1702684800
1,"Туника
Цена: 2250руб.
Размеры: 42,52,ЕДИНЫЙ
Длина: 85см
Материал: хлопок
Арт: 4639895",1702684800
2,"Цена 3950 руб
Размер 46-48-50-52-54-56
Арт 1г-10/а
Костюм
С мехом

https://vk.com/photo-188536751_465531865",1702684800
3,"Шапка
Цена: 950руб.
Арт: 1Б-18
Арт: 4629926",1702684800
4,"Цена: 1470руб.
Размеры: 48,50,52
Материал: акрил, шерсть",1702684800
5,"Комбинезон
Цена: 1400руб.
Размеры: 52,54,56,58,60,62
Материал: креп
Арт: 4622658",1702684800
6,"Свитер
Цена: 1750руб.
Размеры: 48,50,52
Материал: акрил, шерсть
Арт: 4636744",1702684800
7,"Подушка
Цена: 2250руб.
Арт: 2Г-34
Размеры: S,ЕВРО
Материал: сатин
Арт: 4629700",1702684800
8,"Цена: 2010руб.
Арт: 2В-14
Размеры: 42,44,46,48,50,52,54,56,58,60
Арт: 4636381",1702684800
9,"Платье
Цена: 1700руб.
Размеры: 50,52,54,56
Доп. опция: на подкладке
Материал: шифон
Арт: 4640374",1702684800
10,"Костюм
Цена: 3340руб.
Размеры: 50,52,54,56
Материал: люрекс
Сезон: зима
Арт: 4631964",1702684800
11,Original: https://live.staticflickr.com/65535/53353552916_272da104b5_k.jpg,1702684800
12,Original: https://live.staticflickr.com/65535/53352680902_0d4d9bd917_k.jpg,1702684800
13,"Кроссовки
Цена: 2780руб.
Размеры: 41,42,43,44,45,46
Доп. опция: на шнурке
Материал: кожа
Начес: с начесом
Размерность: в размер
Сезон: зима
Арт: 4635581",1702684800
14,"АРТ:Б-2Д-13
костюм двойка
Цена: 1650 руб.
Размер: 42 44 46 48
Ткань: микровельвет",1702684800
15,"Цена: 1700руб.
Арт: 2Г-34
Размеры: 52,54,56,58,60
Материал: велюр, хлопок
Арт: 4614393",1702684800
16,Original: https://live.staticflickr.com/65535/53354002575_bd45ec844a_k.jpg,1702684800
17,"швабра 
швабра с простым и эффективным механизмом отжима. одним движением лопасти швабры складываются, насадка скручивается и отжимается. увеличенная чистящая поверхность и обтекаемые формы, угол поворота 360 градусов, насадка из микрофибры, которая собирает пыль, волосы, очень быстро впитывает жидкости, не оставляет разводов, не царапает пол. всё это позволяет быстро и качественно сделать уборку. 
цена: 570 руб  
 артикул: 4913918",1702684800
18,"Пижама
Цена: 1150руб.
Размеры: 46,48,50,52,54,56
Материал: хлопок
Арт: 4636151",1702684800
19,"Карнавальный костюм
Цена: 1150руб.
Арт: 24-63
Размеры: 110,116,122,128,140,146,152
Арт: 4634627",1702684800
20,"2335
Колготки в рубчик на меху🔥🔥🔥Размер 56-62 единка
Тянутся класссно💥💥💥Не скатывается
Цена 2700₽(6шт)",1702684800
21,"Цена: 1650руб.
Размеры: 74,86,92,98,104
Материал: фатин",1702684800
22,"Водолазка
Размеры: 5-6,6-7,7-8
Материал: хлопок",1702684800
23,Original: https://sun9-67.userapi.com/impg/ovKzK8-xaiZAMhdvUsqXk-beM1udJC0pGqZ2cQ/cTcHDFTnHWM.jpg?size=342x720&quality=96&sign=26b2a79ceff531418e130c52380de6fc&type=album,1702684800
24,"Костюм тройка
Цена: 1730руб.
Размеры: 54,56,58,60,62,64
Верх: футболка
Материал: лайт, трикотаж
Размерность: в размер
Арт: 4636003",1702684800
25,"Кошелек
Цена: 1200руб.
Материал: кожа
Арт: 4635054",1702684800
26,"Платье
Цена: 2250руб.
Арт: 2Г-06
Размеры: 42,46,ЕДИНЫЙ
Материал: трикотаж
Модель: 168см",1702684800
27,Original: https://sun9-67.userapi.com/impg/HZQJZWETb22WM3AxW8cto8LiNUBd59RIB1mK6g/BgQopNnjcT8.jpg?size=411x720&quality=96&sign=f6b730eb0c54476e83bd8a200f216498&type=album,1702684800
28,"Хлопушка
Цена: 500руб.
Арт: C-2-3-07
Арт: 4590016",1702684800
29,"Свитер
Цена: 1430руб.
Размеры: 48,50,52,54,56
Материал: шерсть
Размерность: в размер
Арт: 4581431",1702684800
30,"Цена: 2310руб.
Размеры: 50,52,54,56,58,60",1702684800
31,"Распродажа по 300 рубле 
Размера (44-46)
Цвета без выбора 
Линии 24 контейнер 75",1702684800
