,group_name,post,date
0,fujisamara,"Любителям морепродуктов посвящается! 😍 

Не знаете, что выбрать — лосось, тунец, угорь или креветку? Попробуйте ролл «Сахалин» 🥰 

В нем все четыре ингредиента встречаются с нежным сливочным сыром и соусом манго-чили.

4 разных вкуса для настоящих гурманов 🥢",1700738450
1,fujisamara,"Наш секрет в том, что у нас нет никаких секретов 😍

Рассказываем в карусели почему наша пицца такая вкусная — читайте и делитесь в комментариях, какая пицца из меню «Фуджи» ваша самая-самая? 🍕",1700570381
2,fujisamara,"Осень в самом разгаре, а «Фуджи» радует новыми согревающими напитками.
⠀
🍓 Чай молочный улун с клубникой и вареньем из барбариса 
🍯 Чай зелёный с бузиной и липовым мёдом
🌲 Чай таёжный с вареньем из шишек
⠀
Тяжело сделать выбор, но так вкусно!",1700230029
3,fujisamara,"Ценим вашу обратную связь! 👍🏼

Объективную, честную, подробную! Всегда ценим хорошие отзывы и работаем над недостатками

Предлагаем вам оставить искренний отзыв о нас в сообществе: https://vk.com/reviews-34607671

- Расскажите, какое блюдо вы заказали 
- Для какой ситуации: например, для вечеринки или для семейного ужина
- Оцените вкус и качество блюда по пятибальной шкале 
- Поделитесь, рекомендуете ли вы другим попробовать это блюдо

Ваши добрые отзывы — это самое дорогое! 💜",1700051509
4,fujisamara,"Новинка для поклонников фильмов Marvel — сет «Супергероев» 🦸🏻‍♂️

Представляем сет «Супергероев» — нежный вкус сочных креветок в пяти роллах. В составе: Кейптаун, Венеция, Неаполь, Калифорния и Сингапур. 

🎁  А главное — при заказе сета подарим вам бесплатный детский билет на выставку Marvel, чтобы порадовать маленьких фанатов супергероев. 

Включайте любимый фильм Marvel и наслаждайтесь роллами от «Фуджи». Приятного аппетита! 🍣🎬",1699893132
5,fujisamara,"Мы нашли идеальный стол для пятничного вечера: закуски от «Фуджи», любимые роллы и улыбки близких 😍

Заказывайте на сайте
fuji.ru",1699620918
6,fujisamara,"Новый сет — больше вкусов 😍

Новинка в меню «Фуджи» — сет «11.11» за 1111 рублей!

В составе ваши любимчики — тёплый «Бостон» и вкусная запечённая парочка: «Шиитаке» и «Хот Филадельфия» 

Красочный сет, созданный для того, чтобы спасти любой хмурый день и сделать его ярким ☀️ 

Зовите его в гости, он всегда рад новым знакомствам!",1699452801
7,fujisamara,"Жизнь можно поделить на два периода: когда учишься сам держать палочки в руках и когда учишь ими пользоваться другого.

Главное, чтобы в палочках были роллы из «Фуджи» 🥢",1699268659
8,fujisamara,"«Фуджи» поможет наполнить красками ваш пятничный вечер!
⠀
Встречайте коктейли месяца:
⠀
🍑 Персиковый Эгног — аромат персиков, и слегка жгучее послевкусие
🍨 Шейк с секретом — сладкий коктейль с мороженым и взбитыми сливками 

Будет очень вкусно, обещаем!",1699014517
9,fujisamara,"Разве можно сказать что-то новое про неизменную классику?

Крупные ломтики свежайшей рыбы, сливочный сыр и ароматный рис с нори.

Знаменитая «Филадельфия» в «Фуджи» 🍣

Заказывайте на сайте: fuji.ru",1698840122
10,vestinsk,"Новокуйбышевск 😍

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703181000
11,vestinsk,"Ищу одногруппников из детского сада ""Сказка"". Кто себя узнал, отпишитесь мне пожалуйста

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703179200
12,vestinsk,"В Новокуйбышевске гендиректор АО подозревается в невыплате работникам 2,5 миллионов рублей 

Следственным отделом по городу Новокуйбышевску возбуждено уголовное дело в отношении генерального директора акционерного общества, подозреваемого в совершении преступления, предусмотренного ч. 2 ст. 145.1 УК РФ (полная невыплата заработной платы). 

Как сегодня сообщает СУ СКР по Самарской области, подозреваемый не выплатил зарплату нескольким работникам за период с августа по октябрь, на общую сумму более 2 миллионов 500 тысяч рублей. 

«Целью уголовного преследования за экономические преступления является вовсе не изоляция неплательщика от общества, а восстановление справедливости и восполнение причиненного гражданам ущерба в виде возвращения денег», - отмечают в ведомстве.

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703177400
13,vestinsk,"За год в Новокуйбышевске суд принял решение о выдворении 67 мигрантов

За 11 месяцев 2023 года составлены 145 протоколов об административных правонарушениях, пишет Вестник. 64 жителя ближнего зарубежья нарушили режим пребывания, у них отсутствовали документы, подтверждающие право на проживание в РФ. В отношении девяти иностранных граждан за нарушение правил въезда в нашу страну составлены административные протоколы. 
 
В 32 случаях принимающая сторона не выполнила обязанности, связанные с осуществлением миграционного учета, такое нарушение влечет наложение административного штрафа на граждан в размере от 2 тысяч до 5 тысяч рублей, на должностных лиц – от 40 000 до 50 000 рублей, на юридических лиц – от 400 тыс. до 500 тыс. рублей. 

17 лиц без гражданства незаконно осуществляли трудовую деятельность в нашем городе. 14 человек понесут ответственность за привлечение к трудовой деятельности лица без гражданства при отсутствии разрешения на работу либо патента. 

Девять иностранных жителей уклонились от исполнения административного наказания в виде контролируемого самостоятельного выезда из Российской Федерации. Санкция статьи по этому нарушению предполагает наложение административного штрафа в размере от трех тысяч до пяти тысяч рублей и административное выдворение за пределы России. 
 
В текущем году Новокуйбышевский городской суд в отношении 46 иностранных граждан принял решение о назначении административного наказания в виде самоконтролируемого выдворения за пределы Российской Федерации, а в отношении 21 иностранного гражданина назначено административное наказание в виде выдворения за пределы России и содержания их в специальном учреждении «Центр временного содержания иностранных граждан ГУ МВД России по Самарской области». 
 
31 иностранный гражданин не уплатил штраф за административные правонарушения. За это инспекторы группы исполнения административного законодательства ОМВД России по г. Новокуйбышевску направили проекты решений о не разрешении их въезда в Россию на основании п.10 ч.1 ст. 27 Федерального закона от 15.08.1996 № 114-ФЗ «О порядке выезда из Российской Федерации и въезда в Российскую Федерацию».

О четверых иностранцах, которые более двух раз в течение трех лет были привлечены к административной ответственности, так же уведомлен отдел по вопросам миграции городского отдела полиции, теперь на основании п. 4 ст. 26 этого же Федерального закона от 15.08.1996 № 114-ФЗ они не получат разрешения на въезд в нашу страну

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703175600
14,vestinsk,"В Новокуйбышевске повысят стоимость проезда в общественном транспорте

Изменения вступят в силу 1 января 2024 года

Сумма составит 35 рублей за одну поездку.
 
Также с 1 января 2024 также будут действовать льготные тарифы за проезд с использованием безналичной оплаты:- Единая транспортная карта - 34 рубля за поездку;
- Карта школьника и студента - 14,20 рублей за поездку;
- Безлимитная карта студента - 703 рубля в мес.;
- Безлимитная карта школьника - 562 рубля в месяц;
- Безлимитная карта для военнослужащих - участников СВО и членов их семей - 50 рублей  в месяц (без изменения).

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703173800
15,vestinsk,"В Новокуйбышевске перекрыли движение на одной из улиц

С 20 по 22 декабря 2023 года закрыта проезжая часть дороги 
по ул. Ленинградской, в районе жилого дома № 8. 
 
Движение осуществляется согласно приложенной схеме

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703172000
16,vestinsk,"Наверно ждут когда кому нибудь на голову упадёт 🤭👍🏻
Анон

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703170200
17,vestinsk,"Будьте осторожны, с крыш летит не только снег, но и ограждения

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703168400
18,vestinsk,"В Новокуйбышевске упавший с крыши снег повредил авто

Происшествие случилось на улице Калинина

Сегодня утром местный житель вышел к своей припаркованной у дома № 8 по улице Калинина Ладе Весте. Автомобиль он оставил вчера вечером.

Открывшаяся картина стала для него неприятным сюрпризом.

Пока его не было с крыши здания на капот автомобиля упала глыба льда, оставив большую вмятину.

Теперь мужчина намерен взыскать с ответственных лиц стоимость ремонта.

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703166949
19,vestinsk,"Наркотики в томатном соке пытались передать заключенному в Новокуйбышевске 

Сотрудники исправительной колонии № 3 в Новокуйбышевске в комнате длительных свиданий досмотрели передачу с продуктами питания и обратили внимание на необычный предмет в пакетике с томатным соком.

Передача предназначалась одному из заключенных. Как оказалось, в пакетике томатного сока находились свертки с запрещенными веществами. В одной из них была обнаружена 23-граммовая порция гашиша, а в другой — белый порошок. В настоящее время проводится его анализ в лаборатории, масса составляет около 5 граммов.

В ходе оперативно-розыскных мероприятий сотрудники оперативного отдела колония выяснили, что передача была не положена осужденному Р., однако он обратился за помощью к другому осужденному. Посылка предполагалась на его имя.

Сейчас осуществляется сбор материалов для дальнейшего принятия процессуального решения, сообщает пресс-служба УФСИН СО.

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703098801
20,vestinsk,"☀️❄️ 

•Наши социальные сети•
📤Телеграм https://t.me/novokuybishevsk

📤ВКонтакте https://vk.com/vestinsk

#Новокуйбышевск #НовостиНовокуйбышевска #Город #Nsk #Novokuibyshevsk #Россия #Самара",1703097000
21,vestinsk,,1703089707
