,post,group_name,date
0,"Всем доброго времени суток! Сегодня 24.02.24г зашла в магазин  на Миронова 37в, купила колбаски, сырочек, хлеба. Мне показалось подозрительным то, что весы спрятаны за прилавок. Чек не дали.Дома всё перевесила-обсчитали на 60 рублей!Это с маленького кусочка! Обращаюсь к продавцам данного магазина почему я мать троих малолетних детей, муж на СВО, должна отдать свои деньги чужой незнакомой тёте!Колбаса кислая оказалась-выкинула в мусорку! Спасибо за урок! Больше туда ни ногой!Хочу всех предостеречь от данного магазина!Всем удачи и будьте бдительны!",blacklist_nsk_official,1708792205
1,"В преддверии Дня защитника Отечества Дмитрий Азаров встретился с бойцами второй гвардейской армии, которые участвовали в освобождении Авдеевки 
 
Губернатор поздравил с наступающим праздником военнослужащих и поблагодарил за мужество при исполнении долга. «Каждый из вас внёс свой вклад в эту Победу, которая уверен войдёт в учебники истории», – отметил Дмитрий Азаров. Во встрече также приняли участие Гвардии генерал-лейтенант Андрей Колотовкин и его жена Екатерина, которая является доверенным лицом кандидата в Президенты Владимира Путина. Несколько дней назад Андрей Колотовкин вернулся с передовой и от всех бойцов передал слова благодарности Губернатору и жителям региона за постоянную помощь армии. «Самарская область очень хорошо нас поддерживает, ребята обеспечены всем необходимым», – подчеркнул генерал-лейтенант. 
 
Общаясь с бойцами, Дмитрий Азаров уточнил, какая ещё помощь им требуется. Как и прежде, все просьбы Губернатор взял на личный контроль. К примеру, один из участников СВО, отец четверых детей, рассказал, что его сын хочет поступить в Самарский казачий кадетский корпус. Бойцу обязательно помогут с этим вопросом. Помимо личных обращений, военнослужащие попросили дополнительно передать коптеры в зону СВО. Регион на постоянной основе помогает армии дронами, продолжит это делать и дальше. Также в ближайшее время пройдет совещание с организациями, которые работают в сфере беспилотной авиации – чтобы объединить усилия в этой работе для достижения общей Победы!",blacklist_nsk_official,1708619740
2,"Парк Патриот!!! Нет освещения по второй лестнице и верхней прогулочной дороге в Солдатском лесу, парк Патриот, 2 года был свет, а в этом году ходим с фонариком! Скользкая 1 лестница.не спуститься не подняться.",blacklist_nsk_official,1708677897
3,"Купили вчера в пекарне ""Бико"" на Миронова, 3 две вот такие клубничные тарталетки с начинкой из песка! Есть, конечно, не стали, хрустело на зубах так, что чуть зубы все не выпрыгнули! Нести назад было поздно - закрылись уже! Вопрос к работникам: это новый рецепт какой-то?? До этого купили пирожок с кислой картошкой, который выкинули в мусор! Что, никто не контролирует качество продукции данного предприятия? Анонимно, пожалуйста!",blacklist_nsk_official,1708677929
4,"Хотели бы предостеречь и показать человека, которого зовут Новиков Денис Владимирович 20.08.1987г. , который является мошенником. В феврале набрал 10 пылесосов (возможно больше , о которых мы не знаем ) которые сдаются в аренду и не возвращает. На нем около 5 млн. долг у судебных приставов.",blacklist_nsk_official,1708703435
5,"По решению Дмитрия Азарова учителя нашей области получат по 10 тысяч рублей. Средства выделят из регионального бюджета 
 
Об этом стало известно на областном родительском собрании. Единовременная выплата предусмотрена педагогам и административным работникам, также все остальные сотрудники получат по 5 тысяч рублей. Губернатор поблагодарил педагогов за воспитание подрастающего поколения и вклад в развитие системы образования области, которая уже не первый год является одной из лучших в стране! «Лидирующие позиции региона – это, прежде всего, успех наших педагогов, результат их труда, самоотверженности, любви и преданности детям, высокому служению своему делу», – отметил Дмитрий Азаров. 
 
За последние пять лет в регионе построили 13 новых школ. К примеру, открыли учебное заведение в Автозаводском районе Тольятти – одно из крупнейших в ПФО. Также первых учеников приняла школа в селе Тимофеевка Ставропольского района. Сейчас строят два учреждения в Тольятти, три в Самаре, а также в Сызрани на 1500 мест. Помимо этого, капитально ремонтируют существующие здания.",blacklist_nsk_official,1709040771
6,"Добрый день, ищу людей, которые пострадали от услуг этого мастера 8 (967) 920-41-94 Алексей. Занимается ремонтами компьютеров на дому. Папа пенсионер вызвал его к себе, он забрал компьютер сославшись на недостаток деталей и пропал. Кормил завтраками, теперь вообще не выходит на связь. Может есть у кого информация о том где он обитает?",blacklist_nsk_official,1709101886
7,,blacklist_nsk_official,1708703453
17,"Дмитрий Азаров проверил, как отработаны его поручения, которые были даны по просьбам героев-освободителей Авдеевки и семей военных 
 
Несколько дней назад Губернатор проводил встречу, где бойцы обратились со своими просьбами. Они касались, к примеру, дополнительного лечения и обучения детей – по всем решения уже приняты. В регионе помогают не только бойцам, но также их семьям, чтобы окружить заботой в отсутствие мужского плеча. Один из таких вопросов это газоснабжение дома, где живёт вдова бойца с детьми. Во время телефонного звонка женщина рассказала, что газ уже подключен и всё необходимое оборудование работает. «Даже не верится! Это благодаря вам, Дмитрий Игоревич», – супруга военнослужащего поблагодарила Губернатора за помощь.",blacklist_nsk_official,1708792792
19,"Волжский мост соединил два берега реки. Движение здесь запустят уже в этом году!👍🏼 
 
Объект возводят рядом с Тольятти и в районе села Климовка. Здесь завершили надвижку последнего пролётного строения! Помимо моста уже сделали 100 км прилегающей трассы. Изначально объект хотели построить в другом регионе, но Дмитрий Азаров на встрече в 2018 году заручился поддержкой Владимира Путина в строительстве моста именно в Самарской области. Президент поддержал это предложение и поручил внести изменения в транспортную стратегию страны. Мост и дорога имеет стратегическое значение не только для нашего региона, но и всей страны. Важность реализации этого масштабного проекта в дальнейшем не раз отмечал Глава государства. 
 
Волжский мост и трасса станут частью международного транспортного маршрута в Западный Китай. В нынешних условиях это важный путь для налаживания сотрудничества с другими странами. Новый мостовой переход будет ещё одним аргументом для привлечения новых инвесторов в нашу область. За этим создание производств и рабочих мест для жителей. А значит развитие региона на годы вперед! Также открытие моста позволит существенно разгрузить дорогу Жигулёвской ГЭС.",blacklist_nsk_official,1709033222
30,"💁🏻‍♀ Крупная сеть розничных магазинов приглашает на работу сотрудников! 
 
Актуальные вакансии 👇🏻 
✔ АДМИНИСТРАТОР; 
✔ ПРОДАВЕЦ - КОНСУЛЬТАНТ. 
 
❤ Любить работу легко, когда есть: 
✔ Обучение, 
✔ Достойная заработная плата, 
✔ Официальное трудоустройство, 
✔ Сменный график, 
😜 Молодой, активный, позитивный коллектив! 
 
☎ Телефоны для связи: 
8 (927) 656-81-92 
8 (927) 692-38-00 
 
📝 Заполни анкету прямо сейчас: https://docs.google.com/forms/d/e/1FAIpQLSce6OaXQN0zwLHNl3oNJJPy4fWYd7Lf_lX6uQAZeXofQ7jIAg/viewform?pli=1",jobnovokuybyshevsk,1709470800
31,"Футбольный клуб ""Юниор"" 🟡🔵 ведёт набор мальчиков и девочек в секцию футбола: 2011, 2012 г.р.
🏟 занятия проходят по 4-м адресам:
--------------------------------
✅ ул. Свердлова 23 - Футбольный манеж ""ЮНИОР"";
✅ ул. Свердлова 23 - Школа №19;
✅ пр. Победы 1Б - Стадион ""Нефтяник"";
✅ ул. Бочарикова 8Б - Школа №5

Справки по телефону:
📞 89033355321
📩 Футбол Детский

Мы приглашаем вас приобщить ваших детей к самому замечательному и популярному виду спорта - футболу!",jobnovokuybyshevsk,1709286314
32,"В подрядную организацию ООО ""Рассвет""требуется тракторист на Бобкат 
График работы 5/2, два графика с 06.00 до 14.00, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709289000
33,"🔴🟡🟢🔵
В магазин Детский Мир требуется: 
🔴🟡🟢🔵

-Старший менеджер по товару  (на склад, находящ. в магазине. Тепло, уютно) на приём товара. Работа в программе SAP 
График 5/2 с 9:00 до 18:00. (обед в комнате отдыха со всеми условиями) 
Выходные: воскресенье/понедельник
З/п от 41000 руб
Трудоустройство официальное 

Обращаться в магазин ТЦ Сити Парк 3 этаж. 
С 10:00 до 22:00

Или по тел: 8-927-603-13-13 Наталья",jobnovokuybyshevsk,1709469262
34,"В подрядную организацию ООО ""Рассвет""требуется оператор на мини- садовую самоходную косилку. 
График работы 5/2, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709465400
35,"В подрядную организацию ООО ""Рассвет""требуется тракторист на Бобкат 
График работы 5/2, два графика с 06.00 до 14.00, с 08.00 до 17.00. 
Зарплата от 45 000т. руб. до 50 000т.руб. 
 
т.8-996-341-78-00 
т. 8-927-344-44-03 
т. 8-927-658-45-28",jobnovokuybyshevsk,1709461800
36,"Производственное объединение ""Проминдустрия"" приглашает на работу сотрудника по специальности: ""Слесарь КИПиА"".
Чтобы связаться с нами звоните по телефону 8 927 021 97 42
или пишите на почту chindinaam@po-promin.ru с понедельника по пятницу с 8.00 до 16.00",jobnovokuybyshevsk,1709460001
37,"Требуется менеджер-консультант в мастерской по изготовлению памятников из камня в г. Новокуйбышевск по ул . Ворошилова 28 
Требования: женщина от 40 лет, коммуникабельность, вежливость, грамотная речь , умение общаться с клиентами 
Обязаности: консультирование клиентов, оформление документов, расчет. 
Зарплата: 20.000 + процент от продаж 
Тел:+7 927 722-18-82 Руслан. 
Все вопросы по телефону.",jobnovokuybyshevsk,1709458200
38,"LikeSpa (на территории комплекса ""Волжские термы"") приглашает на вакансию Администратор SPA Центра. 
 
Обязанности: 
-Приглашение на услуги SPA салона гостей комплекса ""Волжские термы"" (активные продажи на территории комплекса). 
-Осуществление коммуникаций с гостями. 
-Запись клиентов на услуги SPA салона: массажи, фишпилинг, массажное кресло, др. 
-Уход за рыбками в аквариумах (обучаем всему, несложно, есть четкие инструкции). 
-Контроль чистоты помещений (сигналы клинерам и другим сотрудникам). 
-Заказ и приемка расходников. 
-Прием и проведение оплаты за услуги. 
 
Требования: 
-Клиентоориентированность 
-Коммуникабельность. -Аккуратность. -Доброжелательность. 
-Работа на результат. 
-Ответственность. 
-Честность. 
-Желание делать продажи, отсутствие страха коммуникаций. 
- Желание учиться и развиваться. 
 
Условия: 
-Работа на территории спа-комплекса Волжские термы. (Адрес: г. Новокуйбышевск, ул. Суворова, д. 2) 
-Высокий проходной поток людей. 
-Возможность обучиться навыкам продаж, увеличению уровня навыков коммуникаций и многому другому (развиваться). 
-Сменный график (4\2 по 8 часов). 
-Оплата: выход в смену + процент с выручки. 
-Уровень дохода 30000 - 50 000 рублей. 
-Красивое и удобное место работы. 
-Комфортная форма из качественных материалов (футболка + шорты). 
-Скидка сотрудника 50% на услуги SPA Салона!. 
-Бесплатное посещение центра ""Волжские термы"" для сотрудника SPA салона и его семьи до трёх раз в месяц. 
-Оформление по ТК РФ. 
-Белая зарплата. 
 
Контакты: 
89170165557 
( Viber, WhatsApp, TG @LikaSmr ) 
Анжелика, 
менеджер по подбору персонала.",jobnovokuybyshevsk,1709456400
39,"❗На постоянную работу требуются сотрудники на должность: 
🔹Менеджер по работе с клиентами 
🕘График работы 5/2 (сб, вс выходной)
💰Зп: оклад+бонусная часть (в среднем 35000р)
Опыт работы не требуется. Предоставляется обучение 2-3 дня (обучение оплачивается)
📌Находимся по адресу: ул. Дзержинского, 13
✏Все подробности в ЛС 
📞Или по телефону: 8 901 942 19 04 (звонить в будни с 09:00 до 18:00)",jobnovokuybyshevsk,1709454600
40,"Требуются уборщицы для уборки помещений, график работы 5/2 не полный рабочий день, 19 500т руб. т.8-927-008-20-38 т. 8-996-732-28-47",jobnovokuybyshevsk,1709451000
41,"В пекарню ""Воскресенская"" требуется: 
 
Помощник Пекаря.
График:2/2, 3/3, с 18.00 - до 08.00
Оплата - 2000 рублей-выход
 
Телефон для справок: 
8 987 986 85 30",jobnovokuybyshevsk,1709447400
42,"В связи с расширением штата, в Автосервис с большим автомобильным трафиком требуется Автомеханик: 
- Стабильная заработная плата. 
- Новые, теплые боксы. 
- Новейшее оборудование. 
- Дружный коллектив. 
- Официальное трудоустройство. 
- Скидки в компании. 
- Выдача униформы. 
 
Подробная информация на собеседовании! 
📱 Тел. 8-937-659-35-35",jobnovokuybyshevsk,1709445600
43,"На автомойку Кирова 14, требуются автомойщики и шиномонтажник, с опытом работы, без вредных привычек! По всем вопросам обращаться по номеру телефона 89677207140",jobnovokuybyshevsk,1709443800
44,"ООО «Универсал Сервис» требуется Грузчик-стропальщик (без вредных привычек). Наличие действующего удостоверения стропальщика. 
для осуществления стропальных работ на территории ООО «НЗМП» г.Новокуйбышевск. Официальное трудоустройство. 
- зарплата 44 000 руб; 
-график работы 5/2 с 8:00-17:00; 
-выдается спецодежда 
 
Обращаться по тел.8 927 650 43 27 Елена Юрьевна",jobnovokuybyshevsk,1709442001
45,"Новокуйбышевск - Чапаевск 
В продуктовую сеть требуется ревизор, зп 40000 + ГСМ ( или оплата проезда), график 5/2 сб и вс выходной. Рассмотрим кандидата без опыта с минимальным представлением о работе ревизора. 
Вопросы по тлф 89379933390",jobnovokuybyshevsk,1709438400
