,Unnamed: 0,post,date,places_names,places,emotions,keywords
0,0,"Цена: 1900руб.
Арт: Б-2Д-87
Размеры: 64,66,68,70
Арт: 4635460",1702684800,"['Арт', 'Арт']","[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0)), Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]","['NEUTRAL', 'NEUTRAL']","[[('цена руб арт', 0.8228), ('руб арт', 0.8015), ('руб арт размеры', 0.7823), ('арт размеры', 0.7429), ('размеры арт', 0.733)], [('цена руб арт', 0.8228), ('руб арт', 0.8015), ('руб арт размеры', 0.7823), ('арт размеры', 0.7429), ('размеры арт', 0.733)]]"
1,1,"Туника
Цена: 2250руб.
Размеры: 42,52,ЕДИНЫЙ
Длина: 85см
Материал: хлопок
Арт: 4639895",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('материал хлопок арт', 0.7538), ('см материал хлопок', 0.7327), ('хлопок арт', 0.7261), ('материал хлопок', 0.7176), ('цена руб размеры', 0.6945)]]"
2,2,"Цена 3950 руб
Размер 46-48-50-52-54-56
Арт 1г-10/а
Костюм
С мехом

https://vk.com/photo-188536751_465531865",1702684800,[],[],[],[]
3,3,"Шапка
Цена: 950руб.
Арт: 1Б-18
Арт: 4629926",1702684800,['Б-\nАрт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEUTRAL'],"[[('шапка цена руб', 0.8376), ('цена руб арт', 0.8206), ('шапка цена', 0.7952), ('руб арт', 0.7675), ('руб арт арт', 0.7646)]]"
4,4,"Цена: 1470руб.
Размеры: 48,50,52
Материал: акрил, шерсть",1702684800,[],[],[],[]
5,5,"Комбинезон
Цена: 1400руб.
Размеры: 52,54,56,58,60,62
Материал: креп
Арт: 4622658",1702684800,['Арт'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('размеры материал креп', 0.7683), ('материал креп арт', 0.748), ('материал креп', 0.7421), ('комбинезон цена руб', 0.7408), ('креп арт', 0.7171)]]"
6,6,"Свитер
Цена: 1750руб.
Размеры: 48,50,52
Материал: акрил, шерсть
Арт: 4636744",1702684800,[],[],[],[]
7,7,"Подушка
Цена: 2250руб.
Арт: 2Г-34
Размеры: S,ЕВРО
Материал: сатин
Арт: 4629700",1702684800,[],[],[],[]
8,8,"Цена: 2010руб.
Арт: 2В-14
Размеры: 42,44,46,48,50,52,54,56,58,60
Арт: 4636381",1702684800,[],[],[],[]
9,9,"Платье
Цена: 1700руб.
Размеры: 50,52,54,56
Доп. опция: на подкладке
Материал: шифон
Арт: 4640374",1702684800,[],[],[],[]
10,10,"Костюм
Цена: 3340руб.
Размеры: 50,52,54,56
Материал: люрекс
Сезон: зима
Арт: 4631964",1702684800,[],[],[],[]
11,11,Original: https://live.staticflickr.com/65535/53353552916_272da104b5_k.jpg,1702684800,[],[],[],[]
12,12,Original: https://live.staticflickr.com/65535/53352680902_0d4d9bd917_k.jpg,1702684800,[],[],[],[]
13,13,"Кроссовки
Цена: 2780руб.
Размеры: 41,42,43,44,45,46
Доп. опция: на шнурке
Материал: кожа
Начес: с начесом
Размерность: в размер
Сезон: зима
Арт: 4635581",1702684800,[],[],[],[]
14,14,"АРТ:Б-2Д-13
костюм двойка
Цена: 1650 руб.
Размер: 42 44 46 48
Ткань: микровельвет",1702684800,['Ткань'],"[Location(Новокуйбышевск, Самарская область, (53.09453, 49.9413, 0.0))]",['NEGATIVE'],"[[('арт костюм двойка', 0.7041), ('арт', 0.6852), ('двойка цена руб', 0.6756), ('арт костюм', 0.6717), ('цена руб размер', 0.6445)]]"
