,Unnamed: 0,place,review,date,location,emotions,keywords
0,0,72 Квартала,"Троллейбусный парк нашего города ещё как то существует,но автобусный уже давно ""мертв"". Кроме автобуса номер10 давно не видел нормальных автобусов,а многие маршруты просто закрыли",28 сентября,"POLYGON ((49.9930362 53.08863, 49.9931267 53.0887257, 49.9929133 53.0887986, 49.9929756 53.0888644, 49.9928637 53.0889026, 49.9926936 53.0887228, 49.9928016 53.088686, 49.9928189 53.0887042, 49.9930362 53.08863))",['NEGATIVE'],"[[('автобусный давно мертв', 0.8109), ('автобусов многие маршруты', 0.7545), ('существует автобусный давно', 0.7401), ('мертв кроме автобуса', 0.7369), ('ещё существует автобусный', 0.725)]]"
1,1,72 Квартала,Более дремучего автовокзала нет даже в глуши забытой деревни..),28 ноября 2022,"POLYGON ((49.9930362 53.08863, 49.9931267 53.0887257, 49.9929133 53.0887986, 49.9929756 53.0888644, 49.9928637 53.0889026, 49.9926936 53.0887228, 49.9928016 53.088686, 49.9928189 53.0887042, 49.9930362 53.08863))",['POSITIVE'],"[[('дремучего автовокзала глуши', 0.8593), ('автовокзала глуши забытой', 0.8361), ('дремучего автовокзала', 0.8322), ('глуши забытой деревни', 0.8142), ('автовокзала глуши', 0.7804)]]"
2,2,Мастерская по ремонту и пошиву одежды,Быстро и качественно,17 января 2022,"POLYGON ((49.9920284 53.0889754, 49.9921269 53.0890752, 49.99085 53.0895301, 49.9907515 53.0894304, 49.9920284 53.0889754))",['POSITIVE'],"[[('быстро качественно', 0.9645), ('быстро', 0.8601), ('качественно', 0.8224)]]"
3,3,Племенной питомник Филмерс,Работает там один человек хозяйка кошки хорошие,13 июля 2020,"POLYGON ((49.9944234 53.0898737, 49.9944518 53.0904808, 49.9942413 53.0904844, 49.9942128 53.0898772, 49.9944234 53.0898737))",['NEUTRAL'],"[[('человек хозяйка кошки', 0.907), ('работает человек хозяйка', 0.8834), ('хозяйка кошки хорошие', 0.8808), ('хозяйка кошки', 0.8544), ('кошки хорошие', 0.8359)]]"
4,4,Жаклин,"Демократичные цены, высокое качество. Профессионалы своего дела, милые и приятные мастера салона ,,Жаклин,, всегда приветливы. Много лет посещаю салон. Рекомендую!",27 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('демократичные цены высокое', 0.8224), ('демократичные цены', 0.8105), ('цены высокое качество', 0.781), ('цены высокое', 0.7642), ('профессионалы своего дела', 0.7349)]]"
5,5,Жаклин,"Замечательные профессионалы своего дела, много лет уже пользуюсь их ними услугами . Спасибо девочки за ваш труд.",21 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('замечательные профессионалы своего', 0.7607), ('профессионалы своего дела', 0.7555), ('замечательные профессионалы', 0.7381), ('профессионалы своего', 0.72), ('услугами спасибо девочки', 0.7092)]]"
6,6,Жаклин,Не изменяю своему мастеру оооочень много лет! А это много значит! Цена-качество 🔥,20 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['NEUTRAL'],"[[('мастеру оооочень лет', 0.8519), ('своему мастеру оооочень', 0.7968), ('изменяю своему мастеру', 0.7832), ('мастеру оооочень', 0.7828), ('своему мастеру', 0.7392)]]"
7,7,Жаклин,"Отличный сервис, проверенный мастер!",7 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('сервис проверенный мастер', 0.8929), ('отличный сервис проверенный', 0.8805), ('отличный сервис', 0.8615), ('проверенный мастер', 0.8513), ('сервис проверенный', 0.8272)]]"
8,8,Жаклин,"Замечательные мастера, низкие цены. Всё на высшем уровне.🙂",6 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('мастера низкие цены', 0.9072), ('низкие цены всё', 0.8734), ('низкие цены', 0.8402), ('цены всё высшем', 0.8156), ('цены всё', 0.7983)]]"
9,9,Жаклин,"Приветливый коллектив, мастера своего дела!",3 октября,"POLYGON ((49.9912364 53.0896642, 49.9915933 53.0900123, 49.9914142 53.0900785, 49.9910573 53.0897304, 49.9912364 53.0896642))",['POSITIVE'],"[[('приветливый коллектив мастера', 0.9124), ('коллектив мастера своего', 0.8672), ('мастера своего дела', 0.8639), ('приветливый коллектив', 0.8605), ('коллектив мастера', 0.8401)]]"
