,place,review,date
0,Октан,"Отличный спортивный комплекс.
Удобное расположение. Приходите, вам будут рады.",16 декабря
1,Октан,"Здесь пора делать ремонт везде, в бассейне, в тренажерке... Пахнет СССР... Тип бассейна классный, от мели до глубины, здоровенные окна, нет замкнутости. Удобное расположение в городе, в отличие от многих других бассейнов, но запущенный...",14 декабря
2,Октан,Был несколько раз обычный спорткомплекс,12 декабря
3,Октан,Буфет не помешал-бы . В целом не плохо.,18 ноября
4,Октан,Отличное место,17 ноября
5,Октан,"Классный Фок. Но персонал на входе не особо дружелюбный. Лицо комплекса и сразу закладывается отношение и настроение, а приходишь- тебе его портят. Элементарно ни «здравствуйте» ни «до свидания»! Взгляд надменный, как будто мы к ним домой пришли и топчим «чистые» полы, без приглашения.",13 ноября
6,Октан,"Отличный спорткомплекс и дружелюбные сотрудники:)
Периодически арендуем площадку для игры в волейбол, когда приезжаем с лингвистическим лагерем в Новокуйбышекск.",10 ноября
7,Октан,Хороший спортивный комплекс.,9 ноября
8,Октан,"В этом спортивном комплексе нет буфета! Постоянно ездим туда на соревнования на весь день и даже негде перекусить. Ни взрослым, ни детям.",29 октября
9,Октан,"Ездим из соседнего города уже несколько лет. Ребёнок занимается с тренером, чисто, баня после бассейна. Вежливый и приветливый персонал. Цены вообще радуют. Летом безлимит. Рекомендую",4 октября
10,Октан,"хороший спортивный комплекс: игровой зал (3 волейбольных площадки), тренажерный зал ( скромный),гимнастический зал,бассейн, сауна, хамам.",29 сентября
11,Октан,"Очень хороший бассейн, вода теплая, вежливый персонал, отличные мини-баньки.",28 сентября
12,Октан,"Красивое место, советую там побывать, классное место для спорта и соревнований. Все есть чтобы хорошо по заниматься спортом. Охранник самый лучший",23 сентября
13,Октан,"Хорошая сауна,хамам,плохая и неудобная раздевалка.",20 сентября
14,Октан,"Злые сотрудники, обращаются очень токсично
Тем более женщина с чёрными волосами 👎👎👎",13 сентября
15,Октан,"Ну крыша течёт же!!!! 
Это где видано, чтобы игроки натирали швабрами лужи на площадке!!!",10 сентября
16,Октан,"Персонал бассейна не понимает для чего он там находится! Пришёл с ребёнком в бассейн,запретили слушать музыку на телефоне сидя за столом в бассейне! Сказали здесь не место )) и инструктор устала !",31 августа
17,Октан,"Занимаюсь 2 года, персонал отзывчивый, Бассейн хороший, тренажёрный зал тоже хороший",26 августа
18,Октан,Отличное место для занятий спортом.,21 августа
19,Октан,Супер бассейн,17 августа
20,Октан,Персонал очень вежливый. Каждый из них знают свое дело. Уборщицы поддерживают чистоту и порядок.,28 июня
21,Октан,"В октан хожу с 2007года, он мне как родной. Что то лучше стало, что то нет, сейчас хожу в месте с сыном!",28 июня
22,Октан,"Чистое комфортное место для спорта и отдыха! Вежливые администраторы, удобный график работы, комфортная парковка, есть одноразовые абоненты. Зона отдыха после занятий",5 июня
23,Октан,"Отличный зал , классный персонал.",28 мая
24,Октан,Новокуйбышевск принял нас отлично. Приезжали на соревнования по кикбоксингу из Самары. Места очень много. Судейская хорошая,26 апреля
25,Октан,"Приезжали на соревнования. Большой, чистый и комфортный спорткомплекс. Хорошая свободная парковка. Удобное расположение.",18 апреля
26,Октан,Хороший аккуратный,16 апреля
27,Октан,Это очень хорошо 👍👍👍.,9 апреля
28,Октан,"Спорткомплекс, сам по себе, хороший, руководство, никчемное. Сплошная суета, делая вид рабочей деятельности, на деле же, как всегда, кого то облизывают, кому то объедки со стола.",7 апреля
29,Октан,"Хорошее место! И позаниматься спортом можно, и попариться, и в бильярд, и в кафе посидеть! Чистота, вежливость- всё присутствует!",6 апреля
30,Октан,Отличный спортивный комплекс. Очень вежливый персонал. Все объяснили все показали. Ездили с ребенком на соревнования было очень здорово.,4 апреля
31,Октан,Ремонт 👎,29 марта
32,Октан,Были на соревнованиях пфо. Чисто персонал приветливые.добраться легко на машине. А главное у внучка завоевала два золота,24 марта
33,Октан,Отличный спорт комплекс,20 марта
34,Октан,"Отличный комплекс для семейного отдыха, отдыха с друзьями и спортивных занятий.",15 марта
35,Октан,"Классное место! Приветливые администраторы! Есть аквариум.
Ребенок в восторге.
С парковкой напряжно.",15 марта
