,place,review,date
0,Fantasy,Хорошая хороший персонал хорошо делают своё дело.,19 сентября
1,Fantasy,С открытием салона постоянно задерживаются на 5 - 10 минут. Во время стрижки придётся послушать всякие новости или сплетни. Работу свою делают хорошо.,10 августа 2021
2,Wildberries,"Быстро, комфортно, вежливо🙂",5 декабря
3,Wildberries,"Счастливые девчонки, выдают товар",9 октября
4,Wildberries,"Вежливый персонал, приветливые сотрудники",3 октября
5,Wildberries,"Пункт маленький, тесновато. Девочки на выдаче молодцы, очень шустро работают.",28 сентября
6,Wildberries,"Отличный, чистый пункт, вежливый персонал",28 июня
7,Wildberries,"Приветливые девушки на выдаче, 
просторные примерочные кабинки, обслуживание быстрое.
Хороший пункт, рекомендую",13 апреля
8,Wildberries,"Пункт просто потрясный! Девочки работают замечательные, приветливые, добрые. Я после операции теперь немая, но меня девушки сразу понимают.Примерочные супер. Спасибо вам за всё, солнышки!",1 января
9,Wildberries,Красивые сотрудники,13 декабря 2022
10,Красное&Белое,"Продавцы хамят, постоянно всё заставленно, ужасно долгое ожидание на кассе.",17 ноября
11,Красное&Белое,Хорошее кб у меня там подра работает все на ее руках держится заезжаем туда когда на лясиках катаемся покупаем энергосик шоколадки жалко рядом норм лавки нет чтоб присесть исправте,17 октября
12,Красное&Белое,"После того как сменился персонал, отвратительное место. Вымещают свое плохое настроение на покупателях. Никогда не спрашивают карту. Хамят. Я уже не говорю о том что улыбнуться даже не могут. Выходишь оттуда, как будто ведро помоев на тебя вылили. Магазин стал грязный. Заходить неприятно, а тем более брезгливо что то покупать. Жаль такой хороший магазин был.",3 октября
13,Красное&Белое,"Очень вежливые продавцы,еда вся оч вкусная",23 сентября
14,Красное&Белое,"Отличные,вежливые продавцы, всегда посещаю",13 сентября
15,Красное&Белое,Плохой запах прям со входа вдариваетв лицо))),31 августа
16,Красное&Белое,Очень хорошо уютно. Всегда приветливые и отзывчивые продавцы. Товара очень большой ассортимент. Удобно что рядом с домом.,16 июля
17,Красное&Белое,"Продавцы консультанты хорошие, выбор большой, много скидок но очень мало места.",18 июня
18,Красное&Белое,"Неудобное расположение товара,отсутствие ценников на некоторый трвар",5 июня
19,Красное&Белое,Все на 100 баллов,27 апреля
20,Красное&Белое,"Товар свежий, персонал адекватный.",3 апреля
21,Красное&Белое,Вежливость,1 марта
22,Красное&Белое,На высоте),14 февраля
23,Красное&Белое,"В целом этот магазин не плохой, обслуживание быстрое, но иногда зависает терминал, персонал хороший, выбор товара не большой, но подойдёт почти всем. Качестно всегда в годности, помещение среднее.",5 февраля
24,Красное&Белое,"Магазин удобно размещён. Есть еда первой необходимости. Относительно других магазинов цены на некоторые товары ненамного, но пониже.качество товаров хорошее.",1 февраля
25,Красное&Белое,"Девушки работают просто замечательные. Всегда помогут, посоветуют. Всегда всё есть, на любой вкус. Я после операции теперь немая, так девочки меня понимают с полуслова. Спасибо вам, золотки 😘! Всегда чистота, хлеб свежий. Замечательный магазин и персонал!",1 января
26,Красное&Белое,Классный персонала,11 декабря 2022
