,place,review,date
0,Panini Papa,"Кафе, скажем так зайти перекусить, еда вкусная, приносят довольно быстро, выбор маленький, мясного немного, официанты шерстят, но вот бармен - отдельное чудо, медленнее черепахи, напитки ( вино, водка) принесли через 20 минут после салата, не представляете сколько было злости, вобщем, кто хочет зайти перекусить в уютной обстановке, вам сюда",22 декабря
1,Panini Papa,"Все супер. 
Прекрасное обслуживание и еда
Советуем",19 декабря
2,Panini Papa,"не первый раз приходим в данное заведение, и ни разу оно еще не вызвало негативных эмоций. обслуживание хорошее, пасты на высоте, пицца просто замечательная, всегда хочется возвращаться, очень уютно :)",19 декабря
3,Panini Papa,"Атмосферное место, отзывчивый персонал, цены приятные, минусов не заметили.
Для нашего города очень достойно, держат планку, рекомендую к посещению!
Молочная девочка вообще огонь",19 декабря
4,Panini Papa,"В этом заведении бываем достаточно часто и с большим удовольствием, нравится все!! Кухня, обслуживание, интерьер, очень удобная детская комната!! Спасибо, придём ещё!!!!)",19 декабря
5,Panini Papa,"Прекрасное уютное семейное заведение,вежливый персонал, современный дизайн,а самое главное вкуснейшая пицца и паста, рекомендую!!!",19 декабря
6,Panini Papa,"Одно из немногих мест в Новокуйбышевске, где очень вкусно кормят. Официанты вежливые. 
Пицца топ 🤩",19 декабря
7,Panini Papa,"Хороший персонал, вкусная пицца, есть детская комната. Всё понравилось всем советую!",19 декабря
8,Panini Papa,"Классное семейное кафе, огромный плюс это детская комната, для того что бы посидеть и попить ароматный чай , скушать пиццу и просто посидеть в приятной атмосфере для нас просто находка)",19 декабря
9,Panini Papa,"Приветливый персонал, всегда помогут с выбором. Отличная атмосфера 😊 
Рекомендую✨",19 декабря
10,Panini Papa,"Отличное и уютное место для семейного времяпрепровождения . Радует наличие детской комнаты и детского меню, негромкая музыка, вкусная и разнообразная еда. С удовольствием будем приходить на семейные мероприятия и вечера и советовать друзьям",18 декабря
11,Panini Papa,"Все было отлично. Ходили с семьей. Все вкусно, спокойная музыка, приветливый персонал. Спасибо Вам.",18 декабря
12,Panini Papa,"Все супер!!! Панини, пицца и лазанья была на высоте. Приветливый и хороший персонал! Вернусь обязательно!!!",18 декабря
13,Panini Papa,Все очень вкусно,18 декабря
14,Panini Papa,"Прекрасное, уютное место где можно отдохнуть всей семьей с детьми, друзьями. Очень нравится, всем советую посетить это заведение!!!",17 декабря
15,Panini Papa,Чудесное заведение для тихого вечера. Кухня и обслуживание на высоте,17 декабря
16,Panini Papa,"Люблю бывать здесь на бизнес ланчах, быстро, вкусно и не дорого.",17 декабря
17,Panini Papa,"Отличное воскресное времяпрепровождение!!! Пицца с грибами и курицей ооочень вкусная! Девочки-официантки приветливые, улыбчивые! Очень понравилось. ❤️",17 декабря
18,Panini Papa,"Уютно. Дружелюбный персонал, улыбчивый и приветливый). Вкусная пицца. И здорово, что организуют классные поэтические вечера. Будем возвращаться!",17 декабря
19,Panini Papa,"Прекрасное место! Приятная атмосфера, вкусная еда. Хорошее обслуживание. Хочу отметить прелестную работу официанта Анастасии).Всем советую посетить это место.",17 декабря
20,Panini Papa,"Отличная атмосфера и вкусные блюда, а персонал очень приветливый, обязательно прийду сюда ещё",17 декабря
21,Panini Papa,Очень медленно обслуживание и меню очень изменилось не очень вкусно,17 декабря
22,Panini Papa,Отличное место для встречи с друзьями!,17 декабря
23,Panini Papa,Неплохо но дороговато,16 декабря
24,Panini Papa,"Спасибо большое ресторану, за вкусную и качественную еду, за уютный интерьер и отзывчивый персонал, в преддверие Нового года, хочется пожелать процветания и удачи в новом году!",14 декабря
25,Panini Papa,"Отличное заведение для проведения бизнес-встреч. Вкусное меню, быстрое обслуживание приятный и вежливый персонал.",13 декабря
26,Panini Papa,"Еда очень вкусная, отличное место для отдыха ❤️",12 декабря
27,Panini Papa,"Всё очень вкусно, привлекательно , отличное место для отдыха",12 декабря
28,Panini Papa,"Отличный уровень. Честно удивлена, все очень вкусно, обслуживание супер. Спасибо за хорошее настроение 😍",12 декабря
29,Panini Papa,"Вежливый и доброжелательный персонал, прекрасное обслуживание, все очень вкусно, хорошая атмосфера",11 декабря
30,Panini Papa,Лучшее заведение в НК!,11 декабря
31,Panini Papa,"Прекрасное уютное место в Новокуйбышевске, где можно вкусно покушать и насладиться атмосферой) Бывает здесь звучит живая музыка по праздникам.",10 декабря
32,Panini Papa,Отличное кафе самые лучшие официанты,10 декабря
33,Panini Papa,"Уютное и вкусное место! Можно придти как на свидание,так и с семьей.",10 декабря
34,Panini Papa,"Отличное место для провеления досуга,обожаю это завеление,и еда вкусная и настроение ребята официанты дарят на все 100% молодцы ,так держать.спасибо вам большое за вашу работу",10 декабря
35,Panini Papa,Уютное заведение приятный персонал😄👍,10 декабря
36,Panini Papa,"Отличное семейное место
Вкусная кухня
Отличный персонал 
Рекомендую к посещению обязательно
Лучше места не найти",10 декабря
37,Panini Papa,Ояень приятное заведение! Для проведения праздников или просто посидеть в хорошей атмосфере!,9 декабря
38,Panini Papa,Отличное место. Советую всегда и всем. Очень вкусная еда и прекрасная отмосфера . Хочется возвращаться снова и снова . Спасибо Вам .,9 декабря
39,Panini Papa,"Побывали в очередной раз . Всё как всегда супер ❤️‍🔥 обслуживание просто супер, приветливые персонал , тёплая домашняя обстановка 💕вкусная еда.",9 декабря
40,Panini Papa,"Здравствуйте, не могу не оставить отзыв. Не была здесь полтора года, что могу сказать, становится всё лучше, кухня такая же вкусная, обслуживание намного лучше, можно сказать на высшем уровне! И очень уютная атмосфера. Спасибо, в нашем городе самое достойное заведение!",9 декабря
41,Panini Papa,Отличное семейное кафе. Теплая уютная атмосфера. Очень вкусные блюда.,9 декабря
42,Panini Papa,"Отличное место, где можно провести вечер с семьёй. Приветливый персонал, большой выыбор, вкусная еда. Приходим сюда с удовольствием. Получаем от этого места только положительные эмоции. Огромное спасибо всему персоналу.Успехов и процветания.",9 декабря
43,Panini Papa,"Самое уютное и милое кафе нашего города . Атмосфера дарит новогоднее настроение, а персонал на 100% знает свое дело и отлично его выполняет",9 декабря
44,Panini Papa,Очень приятные цены. Вкусные блюда. Приятные и вежливые официантки,9 декабря
45,Panini Papa,"Прекрысный ресторан!
Заказывали фирменную пиццу и салаты - все очень вкусно. Ушли сытые и довольные.",9 декабря
46,Panini Papa,"вкусненько, красивенько",9 декабря
47,Panini Papa,Очень красивое место . Еда очень вкусная приходила с дочкой ей больше чем мне понравилось )) прийдем еще раз,9 декабря
