,place,review,date
0,Новокуйбышевская городская станция по борьбе с болезнями животных,Очень хорошее отношение и очень хорошие врачи!!! Спасибо!!!,9 августа
1,Новокуйбышевская городская станция по борьбе с болезнями животных,Супер,5 июля
2,Новокуйбышевская городская станция по борьбе с болезнями животных,"Нормально тут. Животным помогают. Время не совсем удобно, по выходным не работают, но ничего, ради дорогого питомца можно и с работы свалить)",28 июня
3,Новокуйбышевская городская станция по борьбе с болезнями животных,"Хотелось бы выразить огромную благодарность врачам городской ветклиники! Мы были записаны на кастрацию йорка и удаление молочных зубов. Всю операцию и наркоз сделали качественно и хорошо. Огромное спасибо врачу Екатерине за трепетное отношение к нашей собаке! Сразу пригласили на повторный приём, дав чёткие рекомендации по послеоперационному периоду! Спасибо за то,что в городской клинике работают профессионалы, и люди реально любящие свою работу!",25 апреля
4,Новокуйбышевская городская станция по борьбе с болезнями животных,"Хорошо обслужили ,цена приятная .всем пока что довольны",14 марта
5,Новокуйбышевская городская станция по борьбе с болезнями животных,Отличная ВетКлиника!!! Хорошие врачи! Цены адекватные!,3 марта
6,Новокуйбышевская городская станция по борьбе с болезнями животных,"Я очень рада что когда-то узнала о городской вет клиники, очень хорошие врачи, и цены не такие космические как в частных клиниках. Спасибо что вылечили мою собаку.",20 февраля
7,Новокуйбышевская городская станция по борьбе с болезнями животных,Я конечно расстроена тем что в этой клинике нельзя получить просто бесплатную консультацию по болезни животного так как у них консультация платная. У моего знакомого умер кот так как у него не было доступной суммы. Обидно,3 января
8,Новокуйбышевская городская станция по борьбе с болезнями животных,"Всё отлично ,обращался для лечения собачки!",30 октября 2022
9,Новокуйбышевская городская станция по борьбе с болезнями животных,Очень хорошее отношение и очень хорошие врачи!!! Спасибо!!!,9 августа
10,Новокуйбышевская городская станция по борьбе с болезнями животных,Супер,5 июля
11,Новокуйбышевская городская станция по борьбе с болезнями животных,"Нормально тут. Животным помогают. Время не совсем удобно, по выходным не работают, но ничего, ради дорогого питомца можно и с работы свалить)",28 июня
12,Новокуйбышевская городская станция по борьбе с болезнями животных,"Хотелось бы выразить огромную благодарность врачам городской ветклиники! Мы были записаны на кастрацию йорка и удаление молочных зубов. Всю операцию и наркоз сделали качественно и хорошо. Огромное спасибо врачу Екатерине за трепетное отношение к нашей собаке! Сразу пригласили на повторный приём, дав чёткие рекомендации по послеоперационному периоду! Спасибо за то,что в городской клинике работают профессионалы, и люди реально любящие свою работу!",25 апреля
13,Новокуйбышевская городская станция по борьбе с болезнями животных,"Хорошо обслужили ,цена приятная .всем пока что довольны",14 марта
14,Новокуйбышевская городская станция по борьбе с болезнями животных,Отличная ВетКлиника!!! Хорошие врачи! Цены адекватные!,3 марта
15,Новокуйбышевская городская станция по борьбе с болезнями животных,"Я очень рада что когда-то узнала о городской вет клиники, очень хорошие врачи, и цены не такие космические как в частных клиниках. Спасибо что вылечили мою собаку.",20 февраля
16,Новокуйбышевская городская станция по борьбе с болезнями животных,Я конечно расстроена тем что в этой клинике нельзя получить просто бесплатную консультацию по болезни животного так как у них консультация платная. У моего знакомого умер кот так как у него не было доступной суммы. Обидно,3 января
17,Новокуйбышевская городская станция по борьбе с болезнями животных,"Всё отлично ,обращался для лечения собачки!",30 октября 2022
