,place,review,date
0,Профиль-2,"Обслуживают очень внимательно, советуют, что и как практичней и лучше
Спасибо вам девочки",16 ноября
1,Профиль-2,"График работы написано до 18:00, в 17:50 спускаешься орут, что уже закрыто. Когда сказал, что могли бы и дверь тогда закрыть, начали хамить, а спускаться и подниматься по этой лестнице не всем комфортно. Маленький ассортимент, выбора нет никакого, а продавцы вовсе кажутся из советского союза",21 сентября
2,Профиль-2,Хороший магазин,4 августа
3,Профиль-2,"Хороший магазин, продавцы всегда подскажут про товар,посоветуют. Молодцы!",16 июля
4,Профиль-2,"Немного неудобный магазин. Казалось бы небольшой, но не сразу найдешь то что нужно.",1 июня
5,Профиль-2,"Ассортимент не плохой, цены радуют. По сравнению с ""Маргаритой"" просто замечательно. Да и девочки - продавцы очень приветливые и коммуникабельные. Рекомендую!",24 мая
6,Профиль-2,Воняет резиной и бензином. Чуть не вырвало на месте))),17 мая
7,Профиль-2,Хороший выбор стройматериалов. Для небольшого ремонта можно найти почти все. Но ценовая политика владельца данного магазина мне не понятна. Очень часто цены завышены. Можно купить тот же товар дешевле даже не выезжая из города. Так что внимательней к ценам.,17 января
8,Профиль-2,Есть все для ремонта.Это в подвале.Неудобные лестницы как спуск так и подъем. Поручни на стене сломаны.,29 декабря 2022
9,Автоштучки,"Широкий ассортимент радует, цены приемлемые, продавцы вежливые, некоторые улыбаются!",12 декабря
10,Автоштучки,"Очень большой ассортимент, на все случаи, вежливые, участливые продавцы-консультанты. Умеренные цены.",30 ноября
11,Автоштучки,"Хороший магазин авто товаров. Персонал знающий, приветливый. Ассортимент богатый, можно заказать запчасти которых нет в наличии. Цены умеренные, сроки доставки нормальные.",24 ноября
12,Автоштучки,"Большой выбор, отзывчивые ребята",18 ноября
13,Автоштучки,"Качество запчастей, в наличии много чего есть возможен заказ.
Цены приемлемые грамотный персонал.
Спасение когда что то срочно нужно",14 ноября
14,Автоштучки,"Пацаны специалисты своего дела, всегда вежливые, подскажут покажут расскажут",5 ноября
15,Автоштучки,Супер,21 октября
16,Автоштучки,Качество соответствует,30 сентября
17,Автоштучки,Дорогой магазин цены бешенные.,12 сентября
18,Автоштучки,Классный магаз!,4 сентября
19,Автоштучки,"Много масел и прочих расходников в наличии а так же деталей. Помогут подобрать и посоветуют что брать. 
Приду ещё.",18 августа
20,Автоштучки,"Хороший выбор,а чего нет можно заказать.Цены чуть выше.",17 августа
21,Автоштучки,Отличный магазин. Почти всё есть.,13 июля
22,Автоштучки,Хороший выбор автотоваров.,10 июля
23,Автоштучки,Отличный магазин,2 июня
24,Автоштучки,"Хороший магазин ,профи продавцы,вежливые, воёпонравилось.",7 мая
25,Автоштучки,Большой ассортимент и хорошие темы,6 апреля
