,place,review,date
0,Wildberries,Быстро и без нервов),31 июля
1,Wildberries,"Была сегодня в 4 часа, возвращала товар, статус не поменялся, до сих пор висит как полученный товар, в итоге без сумки, без денег, возвращалась туда, девушка толком объяснить не может, сказала мол я себе чтоль сумку заберу? Я возврат сделала. Но уже как бы ночь, статус так и не поменялся",3 июля
2,Wildberries,"Отличный пункт выдачи, персонал вежливый. Чистенько.",30 июня
3,Wildberries,"Я еще не успела товар осмотреть, а с меня уже деньги списывают",18 июня
4,Wildberries,"Приятные вежливые сотруки)), хорошее обслуживание. Милое помещение, чистое и аккрутаное. Удобно часто забираю у них заказы!))) местом очень довольна)",8 июня
5,Wildberries,"Меня всё устраивает,всегда вежливый персонал и всегда чисто и комфортно,в шаговой доступности от дома.",8 июня
6,Wildberries,"Я посещала многие пункты выдачи ,но остановила свой выбор на этом пункте. Здесь меня устраивает всё: чистота, вежливый персонал, никаких вокруг лишних предметов, поэтому пять звёзд.",20 апреля
7,Wildberries,"Спасибо сотрудникам, пр моей проблеме, очень адекватно реагировали, вежливо все пояснили",20 октября 2022
8,Wildberries,Быстро и без нервов),31 июля
9,Wildberries,"Была сегодня в 4 часа, возвращала товар, статус не поменялся, до сих пор висит как полученный товар, в итоге без сумки, без денег, возвращалась туда, девушка толком объяснить не может, сказала мол я себе чтоль сумку заберу? Я возврат сделала. Но уже как бы ночь, статус так и не поменялся",3 июля
10,Wildberries,"Отличный пункт выдачи, персонал вежливый. Чистенько.",30 июня
11,Wildberries,"Я еще не успела товар осмотреть, а с меня уже деньги списывают",18 июня
12,Wildberries,"Приятные вежливые сотруки)), хорошее обслуживание. Милое помещение, чистое и аккрутаное. Удобно часто забираю у них заказы!))) местом очень довольна)",8 июня
13,Wildberries,"Меня всё устраивает,всегда вежливый персонал и всегда чисто и комфортно,в шаговой доступности от дома.",8 июня
14,Wildberries,"Я посещала многие пункты выдачи ,но остановила свой выбор на этом пункте. Здесь меня устраивает всё: чистота, вежливый персонал, никаких вокруг лишних предметов, поэтому пять звёзд.",20 апреля
15,Wildberries,"Спасибо сотрудникам, пр моей проблеме, очень адекватно реагировали, вежливо все пояснили",20 октября 2022
