,place,review,date
0,Мастер,"Просто есть все и по отличным ценам!
Удачи и процветания!",22 декабря 2022
1,Мастер,"Просто есть все и по отличным ценам!
Удачи и процветания!",22 декабря 2022
2,Софт-Сервис,"ООО ""Бакс"" выражает благодарность за оперативность в работе ООО ""Софт-Сервис""",11 июля
3,Софт-Сервис,"Компания АО ""Чистый город"", является клиентом ООО ""Софт-сервис"" не первый год и можем сказать, что полностью удовлетворены уровнем обслуживания и качеством предоставляемых услуг. Особенно радует тех поддержка, быстро реагируют на все запросы. Успехов вам!",8 июня
4,Софт-Сервис,"ООО «Городские сети» выражает благодарность ООО «Софт Сервис» за высокое качество обслуживания и профессионализм сотрудников. Особо хочется отметить отзывчивость, компетентность персонала и готовность быстро и грамотно оказать помощь при каждом обращении.
Рекомендуем ООО «Софт Сервис» как высокопрофессиональную и ответственную команду.",31 мая
5,Софт-Сервис,"С ООО ""Софт-Сервис"" вместе без малого двадцать лет, меняются места работы, но сотрудничество с ООО ""Софт-Сервис"" постоянно, грамотные, квалифицированные специалисты знающие свое дело, рекомендую!",29 мая
6,Софт-Сервис,"Сотрудничество ООО ""Софт-Сервис"" и ООО ""Волга Консалтинг"" началось в 2016 году. За 7 лет совместной работы хочется отметить высокую компетентность и доброжелательность сотрудников, оперативность в решении проблем, пунктуальность и серьезный подход к работе. Смело рекомендуем ООО ""Софт-Сервис"" как достойную и надежную компанию!",26 мая
7,Софт-Сервис,"Отличная компания, где работают специалисты, знающие свое дело. Устанавливали программы для работы. Все работает на отлично. Сопровождение,при любых вопросах.",23 мая
8,Софт-Сервис,Я как главный бухгалтер выражаю свою благодарность ООО Софт сервис и лично Михаилу. С первого дня установки программы 1С всегда была техническая поддержка и решились все вопросы по поддержке программы.,18 мая
9,Софт-Сервис,"ООО""Самарапромгазсбыт"" выражает свою искреннею благодарность сотрудникам ООО ""Софт-Сервис"" за сотрудничество. Высокий профессионализм Вашего коллектива позволили быстро решить производственные моменты. Рады рекомендовать Вашу компанию как надежного и ответственного партнера.",10 мая
10,Софт-Сервис,"Компания ООО ""База"" выражает благодарность за квалифицированную работу и высокое качество обслуживания всему коллективу ООО ""Софт Сервис"" с которым сотрудничаем с 2014 года. За эти годы поменялось многое и лишь высокопроффесиональный уровень вашей команды, надежность и эффективная поддержка остались на высоком уровне. Желаем вашему коллективу успехов и планирум продолжить дальнейшее сотрудничество.",20 апреля
