,place,review,date
0,Пятёрочка,Очень выручает с кормом для питомцев,15 декабря
1,Пятёрочка,"Стандартная пятёрочка. Я бы не оставил отзыв если бы не увидел сегодня как сотрудник голыми руками выбирал себе готовую выпечку,что не понравилось -клал обратно. Я сам не брезгливый купил и съел-выпечка вкусная.",12 декабря
2,Пятёрочка,"Очень вежливый персонал, в магазине чистота и порядок!",8 декабря
3,Пятёрочка,Не впечатлил. Грубые сотрудники. Нет ценников на часть товара...,25 ноября
4,Пятёрочка,Отличный чистый и хороший магазин,17 ноября
5,Пятёрочка,Персонал супер отзывчивые.Товара море все свежее все на своих местах.Чистота ценики все всегда есть.Молодцы!!!!,2 ноября
6,Пятёрочка,Очень хороший персонал помогут в любом вопросе касающийся выбора продукта,5 октября
7,Пятёрочка,"Очень рекомендую!
Нравится все. Всегда чисто, наполненность товаром на ""5"",цены можно всегда уточнить на терминале!
Горячая выпечка, кофемашина.
Большой ассортимент,много разных товаров по акциям,со скидкой.
Чисто, посторонних запахов нет.Просрочки нет.
Все отлично!
Есть кассы самообслуживания.",8 сентября
8,Пятёрочка,"Довольно приятный магазин,особенно после ремонта,про цены не говорю,сами щнаете за пятерочки",27 августа
9,Пятёрочка,Большой выбор продуктов,10 августа
10,Пятёрочка,Нормальный маркет.,31 июля
11,Пятёрочка,Руководитель и работники магазина - добросовестные и ответственные люди. Молодцы!,26 июля
12,Пятёрочка,"Магазин очень чистый. Всегда прохладно и комфортно. Товары разложены привлекательно, и самое важное - очень близко к дому.",25 июля
13,Пятёрочка,Самый лучший магазин и работники все молодцы,22 июля
14,Пятёрочка,"Все уже привыкли ,что пятёрочка , это магазин рядом с домом, ассортимент соответствует запросам среднего человека. Это очень хорошо. Но есть два момента за которые поставил троечку. В некоторых магазинах , опять же, ценник не соответствует цене на кассе, реже такое стало , но присутствует. Второе : кассиры, если человек не рассчитал баланс карты, смотрят на него как на врага человечества и личного врага , конкретно его , кассира. Старшие смены (в основном женщины) идут делать отказ так , что думаешь сейчас достанет револьвер и пристрелит как собаку, человека у которого баланс на карте не сошёлся... Учите кассиров справляться со своими эмоциями и не стоит демонстрировать перекошенное , кислотой и пренебрежением ,,лицо,, пятерочки .",12 июля
15,Пятёрочка,"Хороший, чистый, уютный и просторный магазин",4 июля
16,Пятёрочка,"Всё в магазине нравилось, но последние пару месяцев появился грузчик, от которого неимоверно разит по́том на весь торговый зал, если он там находится,и запах такой резкий, что перехватывает дыхание и искры из глаз. Теперь захожу в эту Пятёрочку через раз, и не дай Бог попадаю в смену это грузчика, - тут же сломя голову бегу из магазина, не купив необходимые продукты.... Администрация магазина, сделайте что-нибудь со своим сотрудником!!!! Ну это же невыносимо!!!",14 июня
17,Пятёрочка,"Пару раз покупала там водичку. В целом как везде, чисто, аккуратно, персонал вежливый.",7 июня
18,Пятёрочка,Нравиться потому что булки по 6 рублей есть,15 мая
19,Пятёрочка,не всегда соответствуют цены на ценника и на кассе.,1 мая
20,Пятёрочка,Хороший магазин хорошо все разложено 👍,25 апреля
21,Пятёрочка,"Ассортимент, цены, чистота на 5 с +, но парковка маленькая, а особенно вечером.",22 апреля
22,Пятёрочка,"Магазин очень нравится! Удобно расположен, много товаров, никогда нет пустых полок. Отдельный + за выпечку, всегда все свежее и вкусное!",17 апреля
23,Пятёрочка,"Магазин чистенький, полки всегда полные. просрочки не встречала. Кассы самообслуживания- очень удобно, когда у тебя 2, 3 покупки.
По началу ,,тупила,, на этих кассах- тут же работники подсказывают.
Еще получаю там посылки с алиэкспресс. Все нравится, все устраивает",15 апреля
24,Пятёрочка,"Магазин хороший, своя парковка, пятую звезду не ставлю, так как интересующий меня товар(кошачий наполнитель Китти комкующийся) то есть, то нет его. Это значит, что такое может случиться и с любым другим товаром.",6 апреля
25,Пятёрочка,"Отличный магазин. Добродушный персонал, исправные терминалы, свежие продукты, и удобное расположение. Из минусов неудобная парковка.",28 марта
26,Пятёрочка,Нормальный магазин но каких-то продуктов бывает нет но в серовно более нормальный магазин чем другие,11 марта
27,Пятёрочка,"Хороший, чистый магазин.",11 марта
28,Пятёрочка,Самая любимая и удобная пятерочка в этом городе! Ещё там восхитительная их выпечка! Рекомендую на все 100%!!!,8 марта
29,Пятёрочка,Хорошая большая пятерка.Всегда когда приезжаю снимаю квартиру рядом с ней.всегда можно все купить.и акций много,1 марта
30,Пятёрочка,Отличный магазин,26 февраля
