,place,review,date
0,Бабочка,Caмый лучший садик в мирееее! Елена Сергеевна и Олеся Владимировна лучшиее!!💕💕💗💗💗,30 ноября
1,Бабочка,"Очень хороший детский сад. Двое детей туда ходили,всегда с настроением шли. Хороший коллектив. Замечательная заведующая. Воспитатели лучшие. Питание хорошее.",9 сентября
2,Бабочка,"Хороший садик, хорошие воспитатели, группа для детей с диагнозом ффн, оно - занятие отличные.На территорию попасть можно только по ключю+.
Единственное территорию привести в порядок не мешало бы.",13 апреля
3,Бабочка,"Очень нравится сад, и воспитатели,единственный недостаток это отсутствие нормальной парковки(впрочем как и в любых других садах) и отсутсвие игровых площадок на улице.",30 марта
4,Бабочка,Лучшие воспитатели добрая заведующая всегда чисто вкусно кормят ребёнок ни когда не жаловался,24 апреля 2022
5,Бабочка,Caмый лучший садик в мирееее! Елена Сергеевна и Олеся Владимировна лучшиее!!💕💕💗💗💗,30 ноября
6,Бабочка,"Очень хороший детский сад. Двое детей туда ходили,всегда с настроением шли. Хороший коллектив. Замечательная заведующая. Воспитатели лучшие. Питание хорошее.",9 сентября
7,Бабочка,"Хороший садик, хорошие воспитатели, группа для детей с диагнозом ффн, оно - занятие отличные.На территорию попасть можно только по ключю+.
Единственное территорию привести в порядок не мешало бы.",13 апреля
8,Бабочка,"Очень нравится сад, и воспитатели,единственный недостаток это отсутствие нормальной парковки(впрочем как и в любых других садах) и отсутсвие игровых площадок на улице.",30 марта
9,Бабочка,Лучшие воспитатели добрая заведующая всегда чисто вкусно кормят ребёнок ни когда не жаловался,24 апреля 2022
