,place,review,date
0,Радиодетали,Хороший магазин. Продавец сразу подобрал нужную деталь.,3 сентября
1,Радиодетали,"Продавец с очень высокими амбициями. Покупателя не слышит. Впаривает то, что хочет сам. Попросила домашнюю антенну с усилителем для пожилой женщины. Продавец уделяя внимание своим знакомым( при чем не одному одновременно), ткнул пальцем ( вон там), по принципу ; то что тебе нужно, взял оплату, ничего не объясняя. Бабушка по незнанию выбросила упаковку упаковку, когда пришел мастер. Мастер объяснил, что нам неправильно продали антенну, т.к. к ней оказывается нужно покупать дополнительно блок, и еще выясняется, что атенна уличная. Понесла антенну обратно, т.к. продавец меня обманул. Он представился хозяином, отказался брать обратно. При требовании жалобной книги отказался ее выдавать, сказав, что она на регистрации. Когда я настояла, сказал что вырвет страницу. После чего обозвал глупой, недалекой.",9 июня
2,Радиодетали,"Отличный магазин! Владимир Владимирович очень клиенто ориентированный человек, всегда все покажет, расскажет, если что не понимаете может подсказать. Цены тоже радуют. Лучший в своём роде магазин в г.Новокуйбышевск! Довольно не плохой ассортимент.",13 апреля
3,Радиодетали,Магазин норм.Единственный в Новокуйбышевске с таким ассортиментом.,19 ноября 2022
4,Электроклуб,Отличный магазин,2 августа
5,Электроклуб,"Отличный магазин, грамотные продавци, хорошее обслуживание,богатый выбор продукции.",14 марта
6,Электроклуб,Отличный магазин,15 февраля
7,Электроклуб,Много нужных вещей для дома и семьи по приемлемым ценам.,4 декабря 2022
8,Автополка,"Был несколько раз всего, но остался даволен. Продавец оказал проффесиональную помощь, всё подсказал. Заказанный товар привёз в течение двух часов. Супер. Цены в диапазоне от и до.",28 июня
9,Автополка,"Ценю что такому слабо знающему человек как я тут помогли с подбором деталей практически на пальцах и доступными словами
Спасибо",22 апреля
10,Автополка,"Отличный автомагазин. Продавец молодец хорошо подбирает запчасти. Брал бампер на Мазду, пришел через день, и все подошло.",23 марта
11,Автополка,Респект консультантам,3 января
12,Автополка,Нормальный магазин продавец общительный,2 декабря 2022
13,Boxberry,"задержка доставки 4 день. никакой конкретной информации и звонков. товар у курьера говорят, а где курьер, почему он не едет - никто не знает, да и не хотят узнать. Просто извините",23 ноября
14,Boxberry,Хорошо,22 ноября
15,Boxberry,Хороший пункт выдачи! Всегда помогут в интересующихся вопросах!,2 ноября
16,Boxberry,"Быстро , четко ! Девчонкам респект !",10 апреля
17,Boxberry,Доставка быстрая!,8 апреля
18,Boxberry,"Очень хороший персонал, отзывчивый, не общаются с клиентами стиснув зубы.",29 марта
19,Boxberry,Отзывчивый персонал. Удобный график работы пункта.,19 января
20,Boxberry,Выручает,28 декабря 2022
21,Ozon,Пункт рядом с домом забираю часто отсюда очередей нет. Играет приятная музыка. Проблем с заказами не было персонал приятный,26 октября
22,Ozon,"Выдача такая какая должна быть. Вежливая и без ошибок. Но, хочется, чтобы у входной лестницы были перила.",24 октября
23,Ozon,"Ничего плохого сказать не могу. Девушки всегда приветливы. Пункт в шаговой доступности от дома. 
Разве что смежное с магазином кондиционеров помещение в минусы записать... Хотя, по мне, не критично",10 сентября
24,Ozon,Все ок,13 июля
25,Ozon,"Тут как везде, не чего особенного.",15 мая
26,Ozon,Всегда пользуемся этим ПВЗ. Всё отлично.,23 апреля
27,Ozon,Спасибо за обратную связь!,8 апреля
28,Ozon,"Приятные работники на пункте,всегда чисто убранно.",7 апреля
29,Ozon,"Хороший пункт. Удобно подъехать на машине. Часто получаю здесь товар, так как самый ближний пункт для меня. Качество доставки хорошее.",20 февраля
30,Ozon,"Хороший пункт выдачи, вежливые продавцы. Чисто ,аккуратно",10 февраля
31,Ozon,Качественное обслуживание. Милые девочки. Очередей почти не бывает (исключение -час пик). Все нормально,19 января
32,Ozon,Хороший пункт выдачи . Удобная парковка.,4 ноября 2022
33,63 Покупки,Хороший пункт выдачи,2 ноября
