,place,review,date
0,Фабрика качества,Хороший магазин👍👍👍,27 ноября
1,Фабрика качества,"Огонь, колбасные изделия, сыры - все свежее и есть в наличии и самое главное - ввсегда свежайший георгиевский хлеб",31 октября
2,Фабрика качества,"Довольно сносный магазин, с приветливыми продавцами и достаточным ассортиментом",30 октября
3,Фабрика качества,я частый покупатель в этом магазине. Всегда свежий и качественный товар.,10 октября
4,Фабрика качества,Топ заведение,6 октября
5,Фабрика качества,"В отличие от других магазинов Фабрики, этот магазин самый лучший. Всегда чисто, продавцы очень доброжелательные, обслужат быстро и качественно. Всегда хороший ассортимент. Благодарю.",28 сентября
6,Фабрика качества,"Хороший магазин, нравится разнообразие товаров, близко с домом. Всегда свежие продукты.",12 сентября
7,Фабрика качества,"Манты с курицей и картошкой рекомендую, очень вкусно",31 августа
8,Фабрика качества,"Мне очень нравится магазин Фабрика качества, товар всегда свежий, продавцы вежливые, что не скажешь о продавцах с кулинарного отдела. Я не была в том отделе давно, недавно зашла туда, ну ничего не изменилось.",2 июня
9,Фабрика качества,Не плохо,20 мая
10,Фабрика качества,Вкусные сосиски и пирожные и слойки,17 мая
11,Фабрика качества,"Отличный магазин, всегда все свежее! 
Очень приветливые продавцы, всегда посоветуют",12 мая
12,Фабрика качества,Зашла и вышла. Не впечатлил магазин,9 мая
13,Фабрика качества,"Кошмар😱😱обманывают по весу на 100-200 гр, на деньги весомо, чек не дают!!!!! Покупка нигде не отображается!!!!! Когда пришла вернуть деньги за покупку кг колбасы, т.к. там не было 1 кг, и одну селедку, пришлось в магните перевесить, то на мое удивление, моя покупка нигде не отобразилась!!! Это как вообще??? Прошу принять меры руководства магазина!",27 апреля
14,Фабрика качества,"Всегда все свежее проходимость покупателей большая, 
Приветливые продавцы.",6 апреля
15,Фабрика качества,"Вежливый персонал, вкусные полуфабрикаты, мясная продукция тоже хорошая. В целом суперский магазин. Если интересуетесь продукцией «фабрика качества» то вам сюда!",30 марта
16,Фабрика качества,"Недолюбливаю эту сеть магазинов, не знаю по чему.",3 марта
17,Фабрика качества,"С детства хожу в этот магазин, сотрудницы приятны в общении, вид мяса очень разнообразный, а самое главное все свежее и натуральное!!",5 февраля
18,Фабрика качества,"Отличный персонал. Всегда дружелюбные девушки помогут с выбором. Даже если большая очередь, быстро всех обслужит. Всегда всё свежее.",14 января
19,Фабрика качества,"Вежливый персонал,цены радуют ,всегда свежие и вкусные продукты.",29 декабря 2022
20,Фабрика качества,Хороший магазин👍👍👍,27 ноября
21,Фабрика качества,"Огонь, колбасные изделия, сыры - все свежее и есть в наличии и самое главное - ввсегда свежайший георгиевский хлеб",31 октября
22,Фабрика качества,"Довольно сносный магазин, с приветливыми продавцами и достаточным ассортиментом",30 октября
23,Фабрика качества,я частый покупатель в этом магазине. Всегда свежий и качественный товар.,10 октября
24,Фабрика качества,Топ заведение,6 октября
25,Фабрика качества,"В отличие от других магазинов Фабрики, этот магазин самый лучший. Всегда чисто, продавцы очень доброжелательные, обслужат быстро и качественно. Всегда хороший ассортимент. Благодарю.",28 сентября
26,Фабрика качества,"Хороший магазин, нравится разнообразие товаров, близко с домом. Всегда свежие продукты.",12 сентября
27,Фабрика качества,"Манты с курицей и картошкой рекомендую, очень вкусно",31 августа
28,Фабрика качества,"Мне очень нравится магазин Фабрика качества, товар всегда свежий, продавцы вежливые, что не скажешь о продавцах с кулинарного отдела. Я не была в том отделе давно, недавно зашла туда, ну ничего не изменилось.",2 июня
29,Фабрика качества,Не плохо,20 мая
30,Фабрика качества,Вкусные сосиски и пирожные и слойки,17 мая
31,Фабрика качества,"Отличный магазин, всегда все свежее! 
Очень приветливые продавцы, всегда посоветуют",12 мая
32,Фабрика качества,Зашла и вышла. Не впечатлил магазин,9 мая
33,Фабрика качества,"Кошмар😱😱обманывают по весу на 100-200 гр, на деньги весомо, чек не дают!!!!! Покупка нигде не отображается!!!!! Когда пришла вернуть деньги за покупку кг колбасы, т.к. там не было 1 кг, и одну селедку, пришлось в магните перевесить, то на мое удивление, моя покупка нигде не отобразилась!!! Это как вообще??? Прошу принять меры руководства магазина!",27 апреля
34,Фабрика качества,"Всегда все свежее проходимость покупателей большая, 
Приветливые продавцы.",6 апреля
35,Фабрика качества,"Вежливый персонал, вкусные полуфабрикаты, мясная продукция тоже хорошая. В целом суперский магазин. Если интересуетесь продукцией «фабрика качества» то вам сюда!",30 марта
36,Фабрика качества,"Недолюбливаю эту сеть магазинов, не знаю по чему.",3 марта
37,Фабрика качества,"С детства хожу в этот магазин, сотрудницы приятны в общении, вид мяса очень разнообразный, а самое главное все свежее и натуральное!!",5 февраля
38,Фабрика качества,"Отличный персонал. Всегда дружелюбные девушки помогут с выбором. Даже если большая очередь, быстро всех обслужит. Всегда всё свежее.",14 января
39,Фабрика качества,"Вежливый персонал,цены радуют ,всегда свежие и вкусные продукты.",29 декабря 2022
