,place,review,date
0,Водолей,"Не решён вопрос с раздевалкой. Ребёнка не могу переодеть спокойно, мужик один, постоянно выгоняет, возмущаясь, - какого чёрта я делаю в мужской раздевалке. Администрация разводит руками, помочь ничем не могут",24 ноября
1,Водолей,"Хожу на акву, очень довольна)))",1 ноября
2,Водолей,Крутой бассейн,28 октября
3,Водолей,5 баллов класс,10 октября
4,Водолей,Хороший бассейн. Вежливый персонал.,25 июля
5,Водолей,ТОПИ ТОП. Глубокий бассейн и добрые тренера,17 мая
6,Водолей,"Доступный неплохой бассейн. Хорошая глубина, температура воды комфортная. Удобное расписание. Хорошая сауна. Доступные цены. Доброжелательный профессиональный обслуживающий персонал. Очень любим пенсионерами.",29 апреля
7,Водолей,"Ремонт бы там сделать. Коллектив приветливый, позитивный",25 марта
8,Водолей,"Хороший бассейн, есть маленькая парковка, подъезд к нему с пр. Победы через двор тесный, лучше с ул. Ворошилова.",9 марта
9,Водолей,"Хороший бассейн, но освежить косметическим ремонтом можно, да и сделать небольшую глубину для малышни тоже можно. Доброжелательный персонал на ресепшене-очень здорово. Вот только с ребёнком (5 лет) туда не пойдёшь. Глубина везде минимум 1,6 метра. Брали групповое посещение (4 человека, 2 взр и 2 реб.) вышло 340 рублей. Меньше сотни на человека. За эти деньги 45 минут поплавали, погрелись в сауне. Здорово.",14 февраля
10,Водолей,"Водичка в бассейне хорошая, в сауне хорошо но тесновато и дощечки бы поменять чтобы занозы не оставались. В мужской душевой рассчитанной на 3х человек комфортно мыться только одному. Цена за посещение на мой взгляд соответствует",6 февраля
11,Водолей,Отлично есть спорт зал.,24 января
12,Водолей,Отличный бассейн. Аква просто бомбическая! Рекомендую👍👌,25 октября 2022
13,Водолей,"Не решён вопрос с раздевалкой. Ребёнка не могу переодеть спокойно, мужик один, постоянно выгоняет, возмущаясь, - какого чёрта я делаю в мужской раздевалке. Администрация разводит руками, помочь ничем не могут",24 ноября
14,Водолей,"Хожу на акву, очень довольна)))",1 ноября
15,Водолей,Крутой бассейн,28 октября
16,Водолей,5 баллов класс,10 октября
17,Водолей,Хороший бассейн. Вежливый персонал.,25 июля
18,Водолей,ТОПИ ТОП. Глубокий бассейн и добрые тренера,17 мая
19,Водолей,"Доступный неплохой бассейн. Хорошая глубина, температура воды комфортная. Удобное расписание. Хорошая сауна. Доступные цены. Доброжелательный профессиональный обслуживающий персонал. Очень любим пенсионерами.",29 апреля
20,Водолей,"Ремонт бы там сделать. Коллектив приветливый, позитивный",25 марта
21,Водолей,"Хороший бассейн, есть маленькая парковка, подъезд к нему с пр. Победы через двор тесный, лучше с ул. Ворошилова.",9 марта
22,Водолей,"Хороший бассейн, но освежить косметическим ремонтом можно, да и сделать небольшую глубину для малышни тоже можно. Доброжелательный персонал на ресепшене-очень здорово. Вот только с ребёнком (5 лет) туда не пойдёшь. Глубина везде минимум 1,6 метра. Брали групповое посещение (4 человека, 2 взр и 2 реб.) вышло 340 рублей. Меньше сотни на человека. За эти деньги 45 минут поплавали, погрелись в сауне. Здорово.",14 февраля
23,Водолей,"Водичка в бассейне хорошая, в сауне хорошо но тесновато и дощечки бы поменять чтобы занозы не оставались. В мужской душевой рассчитанной на 3х человек комфортно мыться только одному. Цена за посещение на мой взгляд соответствует",6 февраля
24,Водолей,Отлично есть спорт зал.,24 января
25,Водолей,Отличный бассейн. Аква просто бомбическая! Рекомендую👍👌,25 октября 2022
