,place,review,date
0,Пятёрочка,"Всегда скудный выбор продуктов, персонал хороший приветливый .",12 декабря
1,Пятёрочка,"Прекрасный персонал, достойное качество. Широкий ассортимент.",24 сентября
2,Пятёрочка,Все есть,17 сентября
3,Пятёрочка,Класс,6 сентября
4,Пятёрочка,Хороший магазин,23 августа
5,Пятёрочка,Отличный магазин,8 мая
6,Пятёрочка,Магазин рядом с домом всегда очень удобно,13 апреля
7,Пятёрочка,"персонал,выбор товара,расположение,чистота.",11 апреля
8,Пятёрочка,Хороший магазин,27 февраля
9,Пятёрочка,Всё хорошо. Общительные и общительные. Спасибо,26 февраля
10,Пятёрочка,Хороший магазин. Вежливый персонал.,8 февраля
11,Пятёрочка,Обычная пятёрочка. Все те-же плюсы и минусы как и во всей сети магазинов. Магазин у дома.,16 января
12,Пятёрочка,"Хороший магазин,раньше ходила всё время,а когда Магнит открыли,стала туда ходить,т.к.мне ближе и дешевле",1 декабря 2022
13,ДостАевский,Очень вкусно!,9 октября
14,ДостАевский,Вкусная и не дорогая еда.на доставку можно заказывать.Привозят быстро. Вежливый персонал.,1 октября
15,Пятёрочка,"Всегда скудный выбор продуктов, персонал хороший приветливый .",12 декабря
16,Пятёрочка,"Прекрасный персонал, достойное качество. Широкий ассортимент.",24 сентября
17,Пятёрочка,Все есть,17 сентября
18,Пятёрочка,Класс,6 сентября
19,Пятёрочка,Хороший магазин,23 августа
20,Пятёрочка,Отличный магазин,8 мая
21,Пятёрочка,Магазин рядом с домом всегда очень удобно,13 апреля
22,Пятёрочка,"персонал,выбор товара,расположение,чистота.",11 апреля
23,Пятёрочка,Хороший магазин,27 февраля
24,Пятёрочка,Всё хорошо. Общительные и общительные. Спасибо,26 февраля
25,Пятёрочка,Хороший магазин. Вежливый персонал.,8 февраля
26,Пятёрочка,Обычная пятёрочка. Все те-же плюсы и минусы как и во всей сети магазинов. Магазин у дома.,16 января
27,Пятёрочка,"Хороший магазин,раньше ходила всё время,а когда Магнит открыли,стала туда ходить,т.к.мне ближе и дешевле",1 декабря 2022
28,ДостАевский,Очень вкусно!,9 октября
29,ДостАевский,Вкусная и не дорогая еда.на доставку можно заказывать.Привозят быстро. Вежливый персонал.,1 октября
30,5Post,Удобно быстро . Вежливый и грамотный персонал …,9 октября
31,5Post,"Надежно, качественно , быстро ,…",16 сентября
32,5Post,Заказывал несколько раз с доставкой 5 пост. Все целое и вовремя,16 июня
33,5Post,Очень удобно забирать заказы,2 июня
34,5Post,"Очень понравилось обслуживание, быстро получила заказ спасибо большое.",4 декабря 2022
