,place,review,date
0,Сурикат,"Вежливые продавцы, всегда подберут хороший корм животным) вет врач Юлия Петровна, профессионал своего дела, знает подход к животным) Спасибо!",16 октября
1,Сурикат,"Все отлично, врач отличный и магазин хороший",22 июля
2,Сурикат,"Не плохой магазин, +ветеренар+стрижка животных.",28 июня
3,Сурикат,"Отличный магазин, и ветклиника! Хороший грамотный врач!",23 апреля
4,Сурикат,"Отличный ассортимент, персонал всегда поможет подобрать необходимый товар. Хорошее расположение, вежливые продавцы",27 марта
5,Сурикат,"Часто ездию в этот магазин. 
Вежливые продавцы.
Хороший вет. врач.",5 марта
6,Сурикат,"Отличный магазин всяких вкусностей для животных. Большой выбор товара, хорошие корма на развес продаются. Расположение очень удобное, я считаю.",11 февраля
7,Сурикат,"Хороший магазин, продавец общительная, может что-то посоветовать по делу.",23 октября 2022
8,Горилка,На меня настолько убогие магазины действуют депрессивно. Прибежище алкашей и маргиналов.,19 июля
9,Горилка,"Вполне нормальный магазин с адекватными и вежливыми продавцами. Правда одно но, если и вы нормальный человек.",16 июня
10,Горилка,good,1 июня
11,Горилка,Так себе магазин именно на этом адресе,19 марта
12,Горилка,В нашем магазине девочки-кассиры всегда очень доброжелательны.,3 ноября 2022
13,Парикмахерская,Стригут ужасно я сказал оставить чёлку а он сделал по своему отстриг чёлку чуть не под корень стригут не ровно я туда ни когда не приду и вы послушайте меня никогда слышите никогда туда не ходите.,12 июня 2022
14,Лена,"Отличный магазин, прекрасный выбор на любой вкус и кошелёк, вежливый персонал. Работает в городе уже 20 лет. За ювелирными украшениями только сюда!",28 июня
15,Лена,"Заведение хорошее цены не особо кусаются, в зале чисто, если есть вопросы продавец проконсультирует, что по изделиям, что по ценам",14 марта
16,Лена,Отличный магазин с адекватными ценами. Только здесь покупаем золото,7 декабря 2022
17,Стрикси,"Зашел первый раз в эту парикмахерскую, мастер спросила только оставлять челку или нет, не спросив какую прическу я хочу сразу же состригла машинкой сверху и очень коротко мм 7 оставила, я был в шоке, первый раз такое вижу.",7 октября
18,Стрикси,Замечательный мастер Светлана. Хожу к ней уже больше года. Все устраивает.,26 марта
19,Стрикси,"Отличная парикмахеская! Девочки опытные, внимательные, приветливые. В помещении чистота и уют, все инструменты проходят обработку после каждого клиента. Да и цены приемлемые!",25 декабря 2022
